Submission	Method	GS	AUPR, #1	AUPR, #3	AUPR, #4	AUROC, #1	AUROC, #3	AUROC, #4	PR score, #1	PR score, #3	PR score, #4	ROC score, #1	ROC score, #3	ROC score, #4	Score, #1	Score, #3	Score, #4	Final score
Bayesian1	raw	old_gs	0.22623290	0.04136909	0.01801955	0.64160148	0.53987552	0.50147000	35.76054060	0.06615430	0.00013104	0.00025859	0.00019471	0.00004156	17.88039959	0.03317451	0.00008630	5.97122013	
Bayesian1	raw	new_gs	0.22623290	0.02705402	0.01801955	0.64160148	0.53216980	0.50147000	35.76054060	0.00033100	0.00013104	0.00025859	0.00019471	0.00004156	17.88039959	0.00026285	0.00008630	5.96024958	
Bayesian1	raw	weak_gs	0.22623290	0.02384676	0.01801955	0.64160148	0.52451741	0.50147000	35.76054060	0.00033096	0.00013104	0.00025859	0.00019471	0.00004156	17.88039959	0.00026283	0.00008630	5.96024957	
Bayesian1	idirect	old_gs	0.22433388	0.04136549	0.01801955	0.64155509	0.53987552	0.50147000	34.29182608	0.06615430	0.00013104	0.00025859	0.00019471	0.00004156	17.14604233	0.03317451	0.00008630	5.72643438	
Bayesian1	idirect	new_gs	0.22433388	0.02706063	0.01801955	0.64155509	0.53216980	0.50147000	34.29182608	0.00033100	0.00013104	0.00025859	0.00019471	0.00004156	17.14604233	0.00026285	0.00008630	5.71546383	
Bayesian1	idirect	weak_gs	0.22433388	0.02385197	0.01801955	0.64155509	0.52451741	0.50147000	34.29182608	0.00033096	0.00013104	0.00025859	0.00019471	0.00004156	17.14604233	0.00026283	0.00008630	5.71546382	
Bayesian1	nd	old_gs	0.23257747	0.03798676	0.01767730	0.64160345	0.53987461	0.50146948	40.88144557	0.00917706	0.00011332	0.00025859	0.00019471	0.00004156	20.44085208	0.00468588	0.00007744	6.81520513	
Bayesian1	nd	new_gs	0.23257747	0.02739683	0.01767730	0.64160345	0.53216905	0.50146948	40.88144557	0.00033103	0.00011332	0.00025859	0.00019471	0.00004156	20.44085208	0.00026287	0.00007744	6.81373080	
Bayesian1	nd	weak_gs	0.23257747	0.02346979	0.01767730	0.64160345	0.52451652	0.50146948	40.88144557	0.00033096	0.00011332	0.00025859	0.00019471	0.00004156	20.44085208	0.00026283	0.00007744	6.81373078	
Bayesian1	gs	old_gs	0.22819021	0.04053981	0.01769594	0.64158735	0.53987657	0.50146959	37.29955462	0.04326173	0.00011353	0.00025859	0.00019471	0.00004156	18.64990660	0.02172822	0.00007755	6.22390412	
