Filename	Method	Submission	GS	AUPR, #1	AUPR, #3	AUPR, #4	AUROC, #1	AUROC, #3	AUROC, #4	PR score, #1	PR score, #3	PR score, #4	ROC score, #1	ROC score, #3	ROC score, #4	Score, #1	Score, #3	Score, #4	Final score
DREAM5_Bayesian1_net1_MI2.txt	idirect	Bayesian1	old_gs	0.22433388	0.04318897	0.01963919	0.64155509	0.56682165	0.51236959	34.29182608	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.14604233	0.07481626	0.19315612	5.80467157	
DREAM5_Bayesian1_net1_MI2_#0.txt	idirect	Bayesian1	old_gs	0.22360560	0.04318897	0.01963919	0.64157178	0.56682165	0.51236959	33.73563183	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.86794521	0.07481626	0.19315612	5.71197253	
DREAM5_Bayesian1_net1_MI2_#1.txt	idirect	Bayesian1	old_gs	0.22316732	0.04318897	0.01963919	0.64156735	0.56682165	0.51236959	33.40256513	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.70141186	0.07481626	0.19315612	5.65646141	
DREAM5_Bayesian1_net1_MI2_#10.txt	idirect	Bayesian1	old_gs	0.22420191	0.04318897	0.01963919	0.64158187	0.56682165	0.51236959	34.19244852	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.09635355	0.07481626	0.19315612	5.78810864	
DREAM5_Bayesian1_net1_MI2_#11.txt	idirect	Bayesian1	old_gs	0.22310660	0.04318897	0.01963919	0.64156366	0.56682165	0.51236959	33.35727365	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.67876612	0.07481626	0.19315612	5.64891283	
DREAM5_Bayesian1_net1_MI2_#12.txt	idirect	Bayesian1	old_gs	0.22390358	0.04318897	0.01963919	0.64157532	0.56682165	0.51236959	33.96366021	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.98195940	0.07481626	0.19315612	5.74997726	
DREAM5_Bayesian1_net1_MI2_#13.txt	idirect	Bayesian1	old_gs	0.22380280	0.04318897	0.01963919	0.64157192	0.56682165	0.51236959	33.88756631	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.94391245	0.07481626	0.19315612	5.73729494	
DREAM5_Bayesian1_net1_MI2_#14.txt	idirect	Bayesian1	old_gs	0.22363772	0.04318897	0.01963919	0.64157298	0.56682165	0.51236959	33.75840047	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.87932953	0.07481626	0.19315612	5.71576730	
DREAM5_Bayesian1_net1_MI2_#15.txt	idirect	Bayesian1	old_gs	0.22326102	0.04318897	0.01963919	0.64157314	0.56682165	0.51236959	33.47811852	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.73918855	0.07481626	0.19315612	5.66905364	
DREAM5_Bayesian1_net1_MI2_#16.txt	idirect	Bayesian1	old_gs	0.22385448	0.04318897	0.01963919	0.64156958	0.56682165	0.51236959	33.92560270	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.96293064	0.07481626	0.19315612	5.74363434	
DREAM5_Bayesian1_net1_MI2_#17.txt	idirect	Bayesian1	old_gs	0.22362273	0.04318897	0.01963919	0.64157047	0.56682165	0.51236959	33.75081008	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.87553433	0.07481626	0.19315612	5.71450224	
DREAM5_Bayesian1_net1_MI2_#18.txt	idirect	Bayesian1	old_gs	0.22347467	0.04318897	0.01963919	0.64156980	0.56682165	0.51236959	33.63705557	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.81865708	0.07481626	0.19315612	5.69554315	
DREAM5_Bayesian1_net1_MI2_#19.txt	idirect	Bayesian1	old_gs	0.22396978	0.04318897	0.01963919	0.64157705	0.56682165	0.51236959	34.00935708	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.00480783	0.07481626	0.19315612	5.75759340	
DREAM5_Bayesian1_net1_MI2_#2.txt	idirect	Bayesian1	old_gs	0.22313154	0.04318897	0.01963919	0.64156587	0.56682165	0.51236959	33.37991559	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.69008709	0.07481626	0.19315612	5.65268649	
DREAM5_Bayesian1_net1_MI2_#20.txt	idirect	Bayesian1	old_gs	0.22323140	0.04318897	0.01963919	0.64157024	0.56682165	0.51236959	33.45544363	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.72785111	0.07481626	0.19315612	5.66527450	
DREAM5_Bayesian1_net1_MI2_#21.txt	idirect	Bayesian1	old_gs	0.22344261	0.04318897	0.01963919	0.64156889	0.56682165	0.51236959	33.61432747	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.80729303	0.07481626	0.19315612	5.69175514	
DREAM5_Bayesian1_net1_MI2_#22.txt	idirect	Bayesian1	old_gs	0.22313939	0.04318897	0.01963919	0.64156514	0.56682165	0.51236959	33.37991559	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.69008709	0.07481626	0.19315612	5.65268649	
DREAM5_Bayesian1_net1_MI2_#23.txt	idirect	Bayesian1	old_gs	0.22377197	0.04318897	0.01963919	0.64157821	0.56682165	0.51236959	33.86475460	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.93250659	0.07481626	0.19315612	5.73349299	
DREAM5_Bayesian1_net1_MI2_#24.txt	idirect	Bayesian1	old_gs	0.22262363	0.04318897	0.01963919	0.64156115	0.56682165	0.51236959	32.99603674	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.49814766	0.07481626	0.19315612	5.58870668	
DREAM5_Bayesian1_net1_MI2_#25.txt	idirect	Bayesian1	old_gs	0.22331102	0.04318897	0.01963919	0.64157332	0.56682165	0.51236959	33.51592689	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.75809274	0.07481626	0.19315612	5.67535504	
DREAM5_Bayesian1_net1_MI2_#26.txt	idirect	Bayesian1	old_gs	0.22374123	0.04318897	0.01963919	0.64157317	0.56682165	0.51236959	33.84195050	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.92110454	0.07481626	0.19315612	5.72969231	
DREAM5_Bayesian1_net1_MI2_#27.txt	idirect	Bayesian1	old_gs	0.22374755	0.04318897	0.01963919	0.64157663	0.56682165	0.51236959	33.84195050	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.92110454	0.07481626	0.19315612	5.72969231	
DREAM5_Bayesian1_net1_MI2_#28.txt	idirect	Bayesian1	old_gs	0.22431058	0.04318897	0.01963919	0.64158026	0.56682165	0.51236959	34.26888013	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.13456936	0.07481626	0.19315612	5.80084725	
DREAM5_Bayesian1_net1_MI2_#29.txt	idirect	Bayesian1	old_gs	0.22280920	0.04318897	0.01963919	0.64156554	0.56682165	0.51236959	33.13127245	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.56576552	0.07481626	0.19315612	5.61124597	
DREAM5_Bayesian1_net1_MI2_#3.txt	idirect	Bayesian1	old_gs	0.22294595	0.04318897	0.01963919	0.64156361	0.56682165	0.51236959	33.23664505	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.61845182	0.07481626	0.19315612	5.62880807	
DREAM5_Bayesian1_net1_MI2_#30.txt	idirect	Bayesian1	old_gs	0.22269560	0.04318897	0.01963919	0.64156348	0.56682165	0.51236959	33.04859587	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.52442723	0.07481626	0.19315612	5.59746654	
DREAM5_Bayesian1_net1_MI2_#31.txt	idirect	Bayesian1	old_gs	0.22286167	0.04318897	0.01963919	0.64156450	0.56682165	0.51236959	33.17641186	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.58833522	0.07481626	0.19315612	5.61876920	
DREAM5_Bayesian1_net1_MI2_#32.txt	idirect	Bayesian1	old_gs	0.22425456	0.04318897	0.01963919	0.64157204	0.56682165	0.51236959	34.23065377	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.11545618	0.07481626	0.19315612	5.79447619	
DREAM5_Bayesian1_net1_MI2_#33.txt	idirect	Bayesian1	old_gs	0.22436562	0.04318897	0.01963919	0.64158099	0.56682165	0.51236959	34.31477962	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.15751910	0.07481626	0.19315612	5.80849716	
DREAM5_Bayesian1_net1_MI2_#34.txt	idirect	Bayesian1	old_gs	0.22419663	0.04318897	0.01963919	0.64158294	0.56682165	0.51236959	34.18481000	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.09253429	0.07481626	0.19315612	5.78683556	
DREAM5_Bayesian1_net1_MI2_#35.txt	idirect	Bayesian1	old_gs	0.22263082	0.04318897	0.01963919	0.64156221	0.56682165	0.51236959	33.00354265	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.50190062	0.07481626	0.19315612	5.58995767	
DREAM5_Bayesian1_net1_MI2_#36.txt	idirect	Bayesian1	old_gs	0.22316510	0.04318897	0.01963919	0.64156063	0.56682165	0.51236959	33.40256513	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.70141186	0.07481626	0.19315612	5.65646141	
