Source	Target	Weight	Flag	Module	Type
OTU_1	OTU_5	1	2	4	Undirected
OTU_1	OTU_50	1	2	4	Undirected
OTU_1	OTU_135	1	2	4	Undirected
OTU_1	OTU_225	1	2	4	Undirected
OTU_1	OTU_329	1	2	4	Undirected
OTU_1	OTU_597	1	2	4	Undirected
OTU_1	OTU_944	1	2	4	Undirected
OTU_1	OTU_1046	1	2	4	Undirected
OTU_1	OTU_2293	1	2	4	Undirected
OTU_1	OTU_5886	1	2	4	Undirected
OTU_1	OTU_8100	1	2	4	Undirected
OTU_1	OTU_11791	1	2	4	Undirected
OTU_1	OTU_14736	1	2	4	Undirected
OTU_1	OTU_18617	1	2	4	Undirected
OTU_1	OTU_24090	1	2	4	Undirected
OTU_2	OTU_5766	1	2	10	Undirected
OTU_2	OTU_12734	1	2	10	Undirected
OTU_2	OTU_14617	1	2	10	Undirected
OTU_3	OTU_12	1	2	16	Undirected
OTU_4	OTU_15	1	2	11	Undirected
OTU_4	OTU_8148	1	2	11	Undirected
OTU_4	OTU_16473	1	2	11	Undirected
OTU_5	OTU_50	1	2	4	Undirected
OTU_5	OTU_225	1	2	4	Undirected
OTU_5	OTU_597	1	2	4	Undirected
OTU_5	OTU_1046	1	2	4	Undirected
OTU_5	OTU_8100	1	2	4	Undirected
OTU_5	OTU_14736	1	2	4	Undirected
OTU_5	OTU_24090	1	2	4	Undirected
OTU_6	OTU_19	1	2	13	Undirected
OTU_6	OTU_16162	1	2	13	Undirected
OTU_7	OTU_126	1	2	-1	Undirected
OTU_7	OTU_25392	1	2	7	Undirected
OTU_12	OTU_150	1	2	16	Undirected
OTU_13	OTU_35	1	2	0	Undirected
OTU_13	OTU_128	1	2	0	Undirected
OTU_13	OTU_131	1	2	0	Undirected
OTU_13	OTU_167	1	2	0	Undirected
OTU_13	OTU_202	1	2	0	Undirected
OTU_13	OTU_422	1	2	0	Undirected
OTU_13	OTU_21522	1	2	0	Undirected
OTU_13	OTU_22981	1	2	0	Undirected
OTU_14	OTU_21	1	2	1	Undirected
OTU_14	OTU_70	1	2	1	Undirected
OTU_14	OTU_81	1	2	1	Undirected
OTU_14	OTU_102	1	2	1	Undirected
OTU_14	OTU_187	1	2	1	Undirected
OTU_14	OTU_232	1	2	1	Undirected
OTU_14	OTU_269	1	2	1	Undirected
OTU_14	OTU_695	1	2	1	Undirected
OTU_14	OTU_8377	1	2	1	Undirected
OTU_14	OTU_20797	1	2	1	Undirected
OTU_14	OTU_21434	1	2	1	Undirected
OTU_15	OTU_8148	1	2	11	Undirected
OTU_19	OTU_16162	1	2	13	Undirected
OTU_21	OTU_32	1	2	1	Undirected
OTU_21	OTU_35	1	2	-1	Undirected
OTU_21	OTU_49	1	2	1	Undirected
OTU_21	OTU_102	1	2	1	Undirected
OTU_21	OTU_108	1	2	1	Undirected
OTU_21	OTU_128	1	2	-1	Undirected
OTU_21	OTU_139	1	2	1	Undirected
OTU_21	OTU_167	1	2	-1	Undirected
OTU_21	OTU_180	1	2	1	Undirected
OTU_21	OTU_187	1	2	1	Undirected
OTU_21	OTU_215	1	2	1	Undirected
OTU_21	OTU_223	1	2	1	Undirected
OTU_21	OTU_245	1	2	1	Undirected
OTU_21	OTU_301	1	2	1	Undirected
OTU_21	OTU_440	1	2	1	Undirected
OTU_21	OTU_695	1	2	1	Undirected
OTU_21	OTU_1610	1	2	1	Undirected
OTU_21	OTU_19459	1	2	1	Undirected
OTU_21	OTU_21434	1	2	1	Undirected
OTU_21	OTU_21929	1	2	1	Undirected
OTU_21	OTU_24660	1	2	1	Undirected
OTU_23	OTU_41	1	2	0	Undirected
OTU_23	OTU_8849	1	2	0	Undirected
OTU_25	OTU_24748	1	2	2	Undirected
OTU_26	OTU_35	1	2	0	Undirected
OTU_31	OTU_43	1	2	0	Undirected
OTU_31	OTU_167	1	2	0	Undirected
OTU_31	OTU_14733	1	2	0	Undirected
OTU_31	OTU_22899	1	2	0	Undirected
OTU_31	OTU_24435	1	2	0	Undirected
OTU_32	OTU_187	1	2	1	Undirected
OTU_32	OTU_223	1	2	1	Undirected
OTU_32	OTU_389	1	2	1	Undirected
OTU_35	OTU_120	1	2	0	Undirected
OTU_35	OTU_128	1	2	0	Undirected
OTU_35	OTU_167	1	2	0	Undirected
OTU_35	OTU_180	1	2	-1	Undirected
OTU_35	OTU_202	1	2	0	Undirected
OTU_35	OTU_321	1	2	0	Undirected
OTU_35	OTU_348	1	2	0	Undirected
OTU_35	OTU_480	1	2	0	Undirected
OTU_35	OTU_740	1	2	0	Undirected
OTU_35	OTU_888	1	2	0	Undirected
OTU_35	OTU_1022	1	2	0	Undirected
OTU_35	OTU_1973	1	2	0	Undirected
OTU_35	OTU_17530	1	2	0	Undirected
OTU_35	OTU_20668	1	2	0	Undirected
OTU_35	OTU_25114	1	2	0	Undirected
OTU_36	OTU_238	1	2	2	Undirected
OTU_38	OTU_608	1	2	3	Undirected
OTU_38	OTU_1195	1	2	3	Undirected
OTU_39	OTU_97	1	2	8	Undirected
OTU_40	OTU_131	1	2	0	Undirected
OTU_40	OTU_202	1	2	0	Undirected
OTU_40	OTU_4247	1	2	0	Undirected
OTU_41	OTU_106	1	2	0	Undirected
OTU_41	OTU_20810	1	2	0	Undirected
OTU_42	OTU_1360	1	2	7	Undirected
OTU_42	OTU_21915	1	2	7	Undirected
OTU_42	OTU_25392	1	2	7	Undirected
OTU_43	OTU_123	1	2	0	Undirected
OTU_43	OTU_14733	1	2	0	Undirected
OTU_44	OTU_279	1	2	8	Undirected
OTU_45	OTU_14293	1	2	18	Undirected
OTU_47	OTU_53	1	2	6	Undirected
OTU_47	OTU_61	1	2	6	Undirected
OTU_47	OTU_75	1	2	6	Undirected
OTU_47	OTU_18890	1	2	6	Undirected
OTU_49	OTU_232	1	2	1	Undirected
OTU_49	OTU_301	1	2	1	Undirected
OTU_50	OTU_597	1	2	4	Undirected
OTU_50	OTU_1046	1	2	4	Undirected
OTU_50	OTU_1251	1	2	4	Undirected
OTU_50	OTU_8875	1	2	4	Undirected
OTU_50	OTU_11791	1	2	4	Undirected
OTU_50	OTU_14736	1	2	4	Undirected
OTU_50	OTU_20178	1	2	4	Undirected
OTU_53	OTU_58	1	2	6	Undirected
OTU_53	OTU_61	1	2	6	Undirected
OTU_53	OTU_75	1	2	6	Undirected
OTU_55	OTU_112	1	2	2	Undirected
OTU_55	OTU_121	1	2	2	Undirected
OTU_55	OTU_141	1	2	2	Undirected
OTU_55	OTU_143	1	2	2	Undirected
OTU_55	OTU_14351	1	2	2	Undirected
OTU_58	OTU_61	1	2	6	Undirected
OTU_58	OTU_75	1	2	6	Undirected
OTU_58	OTU_20797	1	2	-1	Undirected
OTU_59	OTU_89	1	2	2	Undirected
OTU_59	OTU_110	1	2	2	Undirected
OTU_59	OTU_112	1	2	2	Undirected
OTU_59	OTU_121	1	2	2	Undirected
OTU_59	OTU_136	1	2	2	Undirected
OTU_59	OTU_185	1	2	2	Undirected
OTU_59	OTU_487	1	2	2	Undirected
OTU_59	OTU_5730	1	2	2	Undirected
OTU_61	OTU_81	1	2	-1	Undirected
OTU_61	OTU_21239	1	2	6	Undirected
OTU_70	OTU_13168	1	2	1	Undirected
OTU_72	OTU_24660	1	2	1	Undirected
OTU_73	OTU_128	1	2	0	Undirected
OTU_73	OTU_348	1	2	0	Undirected
OTU_73	OTU_2269	1	2	0	Undirected
OTU_80	OTU_87	1	2	15	Undirected
OTU_81	OTU_297	1	2	1	Undirected
OTU_81	OTU_664	1	2	1	Undirected
OTU_87	OTU_1580	1	2	15	Undirected
OTU_88	OTU_131	1	2	0	Undirected
OTU_88	OTU_2822	1	2	0	Undirected
OTU_88	OTU_20810	1	2	0	Undirected
OTU_89	OTU_110	1	2	2	Undirected
OTU_89	OTU_112	1	2	2	Undirected
OTU_89	OTU_121	1	2	2	Undirected
OTU_89	OTU_128	1	2	-1	Undirected
OTU_89	OTU_136	1	2	2	Undirected
OTU_89	OTU_167	1	2	-1	Undirected
OTU_89	OTU_185	1	2	2	Undirected
OTU_89	OTU_205	1	2	2	Undirected
OTU_89	OTU_276	1	2	2	Undirected
OTU_89	OTU_299	1	2	2	Undirected
