Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_1	15	0.371429	2	6.8	0.0530035	0.057715	0.00134797	18	0.00133957	565.96	211	3	2.33697	0	2	2.33697	0
OTU_102	13	0.179487	8	5.84615	0.0459364	0.180597	0.0288798	64.3036	0.028404	123.077	274	1	2.57182	0.142012	1	1.85413	0.378698
OTU_1020	1	0	9	5	0.00353357	0.11445	0	35.7611	0	1.78224	63	6	-0.866025	0	9	-0.866025	0
OTU_1022	3	1	8	14	0.0106007	0.180113	0	58.5238	0	26.5762	170	2	-0.136631	0	17	-0.57735	0.666667
OTU_1032	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	4	21	0	0	36	0	0
OTU_1046	6	0.666667	3	9	0.0212014	0.041008	0.000131987	13.1667	0.000131221	132.868	178	3	0.0687343	0	2	0.0687343	0
OTU_106	6	0.666667	8	6.66667	0.0212014	0.14294	0.00719119	48.5393	0.00719088	37.666	236	2	0.77424	0	4	0.731925	0
OTU_1068	1	0	9	16	0.00353357	0.156237	0	50.3187	0	14.3395	130	0	-0.822777	0	3	-1.15421	0
OTU_1076	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	8	31	0	0	28	0	0
OTU_108	5	0.5	8	10	0.0176678	0.174953	0.0150846	58.3702	0.0148515	36.8217	261	1	0.48514	0	1	0.0720049	0.32
OTU_110	15	0.419048	9	10	0.0530035	0.169011	0.0101157	63.8353	0.00956348	2087.74	272	0	1.75487	0	3	1.49667	0.32
OTU_1103	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	13	32	0	0	30	0	0
OTU_111	2	1	9	5	0.00706714	0.116534	0	37.6849	0	3.21664	102	4	0	0	13	-0.57735	0.5
OTU_112	19	0.304094	9	9.63158	0.0671378	0.172483	0.0275488	67.3353	0.0263973	2945.7	278	0	2.49135	0	3	1.25568	0.487535
