ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_1	15	53.7880952380952	129	1.5095703636075e-10	0.371428571428571	4	2.3369675485198	0	0	0	Firmicutes	91671	1
OTU_2	3	0.5	1	1.79251275646926e-58	0.666666666666667	10	1	0	0	-1	Verrucomicrobia	114143	1
OTU_3	1	0	0	3.5495143750657e-83	0	16	0	0	0	-1	Acidobacteria	65806	1
OTU_4	3	0.5	1	1.79251275646926e-58	0.666666666666667	11	1	0	0	0	Proteobacteria	47420	1
OTU_5	8	12.4	38	9.31791678220952e-11	0.535714285714286	4	0.572786163852892	0	0	0	Firmicutes	43797	1
OTU_6	2	0	0	9.99099476055758e-69	1	13	0	0	0	-1	Cyanobacteria/Chloroplast	34456	1
OTU_7	2	950	4180	6.06282427794199e-05	0	7	-1.33630620956212	0.5	0	-1	Acidobacteria	25024	1
OTU_12	2	1	1	7.09902875013141e-83	0	16	0	0	0	-1	Crenarchaeota	14120	1
OTU_13	8	1298.30741684748	7448	0.0135645371125241	0.321428571428571	0	1.48209654526671	0	0	0	Actinobacteria	15399	1
OTU_14	11	2405.54657213829	7324	0.00336059570550972	0.2	1	2.27362730180033	0	0	-1	Acidobacteria	8022	1
OTU_15	2	0	0	1.39955166843014e-58	1	11	-1	0	0	0	Proteobacteria	9824	1
OTU_19	2	0	0	9.99099476055758e-69	1	13	0	0	0	-1	Unclassified	11076	1
OTU_21	22	8306.13793360436	25266	0.0172425555836924	0.112554112554113	1	4.6461079645485	0.235537190082645	2	-1	Acidobacteria	16751	1
OTU_23	2	194	1433	1.83466929859903e-05	0	0	-0.411693484796309	0	0	-1	Actinobacteria	7663	1
OTU_25	1	0	0	0.00530868937734937	0	2	-0.822777183390575	0	0	0	Proteobacteria	4599	0
OTU_26	1	0	0	0.00180703292808271	0	0	-0.72732515647348	0	0	0	Proteobacteria	8030	1
OTU_31	5	957	2022	0.00411767227662113	0.1	0	0.535201530235202	0	0	-1	Acidobacteria	16711	1
OTU_32	4	206.079166666667	460	0.00231662810072654	0.333333333333333	1	0.197706721895681	0	0	-1	Proteobacteria	18121	1
OTU_35	18	3260.79980117846	9689	0.0184284411782963	0.0915032679738562	0	4.00714991868408	0.197530864197531	2	0	Proteobacteria	7581	1
OTU_36	1	0	0	0.00752905369089273	0	2	-0.822777183390575	0	0	0	Proteobacteria	7357	1
OTU_38	2	194	519	1.353656445141e-07	0	3	0	0	0	0	Nitrospira	6794	1
OTU_39	1	0	0	1.30342967703644e-77	0	8	-1	0	0	-1	Acidobacteria	11289	1
OTU_40	3	194	733	0.000671105462393001	0.333333333333333	0	-0.0960618131191388	0	0	0	Actinobacteria	8705	1
OTU_41	3	386	2864	0.000185303800726489	0.333333333333333	0	-0.0960618131191388	0	0	-1	Actinobacteria	9134	1
OTU_42	3	0	0	7.53075407572813e-07	1	7	0.267261241912425	0	0	-1	Acidobacteria	11113	1
OTU_43	3	194	407	0.000452050511516733	0.333333333333333	0	-0.0960618131191388	0	0	-1	Unclassified	5861	1
OTU_44	1	0	0	1.30342967703644e-77	0	8	-1	0	0	-1	Unclassified	7030	1
OTU_45	1	0	0	2.52208165467899e-97	0	18	0	0	0	0	Proteobacteria	6194	0
OTU_47	4	195.666666666667	497	8.0989715162832e-06	0.333333333333333	6	0.917662935482247	0	0	-1	Actinobacteria	6115	1
OTU_49	3	74.9119047619048	309	0.00192968837989437	0.333333333333333	1	-0.0988533609478406	0	0	-1	Proteobacteria	6800	1
OTU_50	9	57.7333333333333	147	8.64263505915049e-11	0.333333333333333	4	0.824812075948165	0	0	-1	Firmicutes	4627	1
OTU_53	4	9.60952380952381	39	1.77740822007e-05	0.666666666666667	6	0.917662935482247	0	0	-1	Unclassified	2810	1
OTU_55	5	196.264038604192	993	0.122085658584644	0.7	2	-0.0863052989570533	0	0	0	Proteobacteria	3199	0
OTU_58	4	364.501985370951	2353	0.000109137758209443	0.333333333333333	6	0.114707866935281	0.375	0	-1	Unclassified	4984	1
OTU_59	8	4.75870518370518	41	0.180076730760597	0.892857142857143	2	0.466048614368088	0	0	0	Actinobacteria	3815	0
OTU_61	5	614.07420510524	1795	5.07877814319742e-05	0.2	6	0.917662935482247	0.32	0	-1	Actinobacteria	4801	0
OTU_70	2	194	406	0.000332728294925919	0	1	-0.395413443791362	0	0	-1	Actinobacteria	2453	0
OTU_72	1	0	0	0.00016904000760321	0	1	-0.691973526634884	0	0	1	Crenarchaeota	2512	1
OTU_73	3	222.87518037518	532	0.00662070120271122	0	0	-0.0960618131191388	0	0	-1	Proteobacteria	6342	0
OTU_75	3	7.94285714285714	34	1.32387205427785e-05	0.666666666666667	6	0.114707866935281	0	0	-1	Actinobacteria	5421	0
OTU_80	1	0	0	3.5495143750657e-83	0	15	0	0	0	-1	Actinobacteria	5833	0
OTU_81	4	958.764681295716	2616	0.000377951874972788	0	1	-0.0988533609478406	0.375	0	0	Actinobacteria	6461	1
OTU_87	2	1	1	7.09902875013141e-83	0	15	0	0	0	1	Actinobacteria	6189	1
OTU_88	3	194	714	0.00034647135441111	0.333333333333333	0	-0.0960618131191388	0	0	0	Actinobacteria	7941	1
