"","No","ID","No..module","modColors"
"1",1,"OTU_1",5,"green"
"2",4,"OTU_5",5,"green"
"3",6,"OTU_7",11,"greenyellow"
"4",8,"OTU_13",3,"brown"
"5",9,"OTU_14",2,"blue"
"6",12,"OTU_21",2,"blue"
"7",13,"OTU_23",3,"brown"
"8",14,"OTU_25",1,"turquoise"
"9",15,"OTU_26",3,"brown"
"10",16,"OTU_31",9,"magenta"
"11",17,"OTU_32",2,"blue"
"12",18,"OTU_35",3,"brown"
"13",19,"OTU_36",1,"turquoise"
"14",20,"OTU_38",4,"yellow"
"15",22,"OTU_40",3,"brown"
"16",23,"OTU_41",3,"brown"
"17",24,"OTU_42",11,"greenyellow"
"18",25,"OTU_43",9,"magenta"
"19",27,"OTU_47",7,"black"
"20",28,"OTU_49",2,"blue"
"21",29,"OTU_50",5,"green"
"22",30,"OTU_53",7,"black"
"23",31,"OTU_55",1,"turquoise"
"24",32,"OTU_58",7,"black"
"25",33,"OTU_59",1,"turquoise"
"26",34,"OTU_61",7,"black"
"27",35,"OTU_70",2,"blue"
"28",36,"OTU_72",2,"blue"
"29",37,"OTU_73",3,"brown"
"30",38,"OTU_75",7,"black"
"31",40,"OTU_81",2,"blue"
"32",42,"OTU_88",3,"brown"
"33",43,"OTU_89",1,"turquoise"
"34",44,"OTU_96",2,"blue"
"35",46,"OTU_98",1,"turquoise"
"36",47,"OTU_102",2,"blue"
"37",48,"OTU_106",3,"brown"
"38",49,"OTU_108",2,"blue"
"39",50,"OTU_110",1,"turquoise"
"40",51,"OTU_111",4,"yellow"
"41",52,"OTU_112",1,"turquoise"
"42",53,"OTU_115",4,"yellow"
"43",54,"OTU_117",1,"turquoise"
"44",55,"OTU_120",3,"brown"
"45",56,"OTU_121",1,"turquoise"
"46",57,"OTU_123",9,"magenta"
"47",58,"OTU_126",2,"blue"
"48",59,"OTU_128",3,"brown"
"49",60,"OTU_131",3,"brown"
"50",61,"OTU_135",5,"green"
"51",62,"OTU_136",1,"turquoise"
"52",64,"OTU_138",1,"turquoise"
