Source	Target	Weight	Flag	Module	Type
OTU_1	OTU_5	1	2	11	Undirected
OTU_1	OTU_50	1	2	11	Undirected
OTU_1	OTU_135	1	2	11	Undirected
OTU_1	OTU_329	1	2	11	Undirected
OTU_1	OTU_597	1	2	11	Undirected
OTU_1	OTU_944	1	2	11	Undirected
OTU_1	OTU_2293	1	2	11	Undirected
OTU_1	OTU_8100	1	2	11	Undirected
OTU_1	OTU_11791	1	2	11	Undirected
OTU_1	OTU_14601	1	2	11	Undirected
OTU_1	OTU_14736	1	2	11	Undirected
OTU_1	OTU_18617	1	2	11	Undirected
OTU_1	OTU_24090	1	2	11	Undirected
OTU_2	OTU_5766	1	2	7	Undirected
OTU_2	OTU_12734	1	2	7	Undirected
OTU_2	OTU_14617	1	2	7	Undirected
OTU_3	OTU_12	1	2	12	Undirected
OTU_3	OTU_13164	1	2	12	Undirected
OTU_4	OTU_15	1	2	1	Undirected
OTU_4	OTU_30	1	2	-1	Undirected
OTU_4	OTU_124	1	2	1	Undirected
OTU_4	OTU_176	1	2	-1	Undirected
OTU_4	OTU_242	1	2	1	Undirected
OTU_4	OTU_267	1	2	1	Undirected
OTU_4	OTU_390	1	2	1	Undirected
OTU_4	OTU_14574	1	2	-1	Undirected
OTU_4	OTU_16473	1	2	1	Undirected
OTU_4	OTU_17111	1	2	1	Undirected
OTU_4	OTU_19222	1	2	1	Undirected
OTU_4	OTU_19805	1	2	1	Undirected
OTU_4	OTU_23319	1	2	1	Undirected
OTU_5	OTU_53	1	2	-1	Undirected
OTU_5	OTU_119	1	2	-1	Undirected
OTU_5	OTU_225	1	2	-1	Undirected
OTU_5	OTU_597	1	2	11	Undirected
OTU_5	OTU_1046	1	2	11	Undirected
OTU_5	OTU_7063	1	2	11	Undirected
OTU_6	OTU_19	1	2	16	Undirected
OTU_7	OTU_126	1	2	9	Undirected
OTU_7	OTU_349	1	2	9	Undirected
OTU_7	OTU_449	1	2	9	Undirected
OTU_12	OTU_24385	1	2	12	Undirected
OTU_13	OTU_35	1	2	5	Undirected
OTU_13	OTU_131	1	2	5	Undirected
OTU_13	OTU_22981	1	2	5	Undirected
OTU_14	OTU_53	1	2	3	Undirected
OTU_14	OTU_58	1	2	3	Undirected
OTU_14	OTU_60	1	2	3	Undirected
OTU_14	OTU_61	1	2	3	Undirected
OTU_14	OTU_68	1	2	3	Undirected
OTU_14	OTU_81	1	2	3	Undirected
OTU_14	OTU_102	1	2	3	Undirected
OTU_14	OTU_144	1	2	3	Undirected
OTU_14	OTU_161	1	2	3	Undirected
OTU_14	OTU_200	1	2	3	Undirected
OTU_14	OTU_215	1	2	3	Undirected
OTU_14	OTU_232	1	2	3	Undirected
OTU_14	OTU_269	1	2	3	Undirected
OTU_14	OTU_304	1	2	3	Undirected
OTU_14	OTU_338	1	2	3	Undirected
OTU_14	OTU_403	1	2	3	Undirected
OTU_14	OTU_405	1	2	3	Undirected
OTU_14	OTU_465	1	2	3	Undirected
OTU_14	OTU_511	1	2	3	Undirected
OTU_14	OTU_584	1	2	3	Undirected
OTU_14	OTU_677	1	2	3	Undirected
OTU_14	OTU_689	1	2	3	Undirected
OTU_14	OTU_758	1	2	3	Undirected
OTU_14	OTU_807	1	2	3	Undirected
OTU_14	OTU_958	1	2	3	Undirected
OTU_14	OTU_1061	1	2	3	Undirected
OTU_14	OTU_1101	1	2	3	Undirected
OTU_14	OTU_2932	1	2	-1	Undirected
OTU_14	OTU_3634	1	2	3	Undirected
OTU_14	OTU_8377	1	2	3	Undirected
OTU_14	OTU_12543	1	2	3	Undirected
OTU_14	OTU_13168	1	2	3	Undirected
OTU_14	OTU_20797	1	2	3	Undirected
OTU_14	OTU_21361	1	2	3	Undirected
OTU_14	OTU_21582	1	2	-1	Undirected
OTU_14	OTU_25900	1	2	3	Undirected
OTU_15	OTU_38	1	2	-1	Undirected
OTU_15	OTU_53	1	2	-1	Undirected
OTU_15	OTU_60	1	2	-1	Undirected
OTU_15	OTU_132	1	2	-1	Undirected
OTU_15	OTU_137	1	2	-1	Undirected
OTU_15	OTU_191	1	2	-1	Undirected
OTU_15	OTU_200	1	2	-1	Undirected
OTU_15	OTU_242	1	2	1	Undirected
OTU_15	OTU_371	1	2	-1	Undirected
OTU_15	OTU_416	1	2	1	Undirected
OTU_15	OTU_741	1	2	1	Undirected
OTU_15	OTU_799	1	2	-1	Undirected
OTU_15	OTU_983	1	2	1	Undirected
OTU_15	OTU_999	1	2	-1	Undirected
OTU_15	OTU_1203	1	2	-1	Undirected
OTU_15	OTU_1337	1	2	1	Undirected
OTU_15	OTU_1382	1	2	-1	Undirected
OTU_15	OTU_3148	1	2	1	Undirected
OTU_15	OTU_3634	1	2	-1	Undirected
OTU_15	OTU_7456	1	2	-1	Undirected
OTU_15	OTU_13177	1	2	-1	Undirected
OTU_15	OTU_14574	1	2	-1	Undirected
OTU_15	OTU_19805	1	2	1	Undirected
OTU_15	OTU_22728	1	2	1	Undirected
OTU_20	OTU_9746	1	2	15	Undirected
OTU_20	OTU_25187	1	2	15	Undirected
OTU_21	OTU_49	1	2	3	Undirected
OTU_21	OTU_102	1	2	3	Undirected
OTU_21	OTU_108	1	2	3	Undirected
OTU_21	OTU_187	1	2	3	Undirected
OTU_21	OTU_226	1	2	3	Undirected
OTU_21	OTU_269	1	2	3	Undirected
OTU_21	OTU_496	1	2	3	Undirected
OTU_21	OTU_511	1	2	3	Undirected
OTU_21	OTU_623	1	2	3	Undirected
OTU_21	OTU_689	1	2	3	Undirected
OTU_21	OTU_12543	1	2	3	Undirected
OTU_21	OTU_20797	1	2	3	Undirected
OTU_23	OTU_88	1	2	5	Undirected
OTU_26	OTU_35	1	2	5	Undirected
OTU_27	OTU_53	1	2	3	Undirected
OTU_27	OTU_60	1	2	3	Undirected
OTU_27	OTU_61	1	2	3	Undirected
