Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_1	13	0.307692	17	6.07692	0.0301624	0.163063	0.0253362	95.0158	0.0248251	444.022	338	5	2.32993	0	6	2.30623	0
OTU_1014	1	0	17	7	0.00232019	0.158559	0	84.961	0	25.894	118	2	-0.521427	0	1	-0.565755	0
OTU_1017	2	1	17	13	0.00464037	0.16165	0	89.242	0	40.0899	148	1	-0.580911	0	5	-0.441771	0
OTU_102	20	0.131579	16	8	0.0464037	0.181375	0.0333497	113.528	0.0348842	111750	397	0	0.978919	0.18	0	0.988247	0.18
OTU_1021	2	0	17	2.5	0.00464037	0.145738	0.00431662	75.2578	0.00431662	4.57869	200	2	-0.302277	0	47	0	0.5
OTU_10251	2	0	16	36	0.00464037	0.188238	4.6768e-05	108.145	4.05904e-05	5685.54	254	2	-0.302277	0	1	-0.356503	0
OTU_103	5	0.1	16	7.8	0.0116009	0.186637	0.00656666	106.224	0.00684319	2638.31	334	1	0.207027	0	23	1.41421	0.64
OTU_10370	3	0	17	11	0.00696056	0.16974	0.00877455	96.5324	0.00884811	393.299	295	2	-0.0831261	0	1	-0.356503	0.444444
OTU_1039	1	0	17	25	0.00232019	0.168818	0	94.1991	0	329.116	144	2	-0.521427	0	1	-0.565755	0
OTU_1046	6	0.6	17	7.5	0.0139211	0.162212	0.000974466	90.6824	0.000965924	284.763	262	5	0.183942	0	6	0.104828	0
OTU_10488	16	0.541667	15	24.6875	0.037123	0.216158	0.00235752	133.756	0.0021693	1.20407e+06	394	0	0.640599	0.117188	0	0.655066	0.117188
OTU_106	5	0.3	12	3.8	0.0116009	0.147349	0.010716	71.5994	0.010716	8.59362	249	6	1.43626	0	9	1.21268	0.32
OTU_1061	1	0	16	36	0.00232019	0.176151	0	98.0118	0	8448.63	165	0	-0.938227	0	0	-0.899775	0
OTU_1078	2	0	18	2	0.00464037	0.143717	0.00431662	76.0919	0.00431662	3.63346	196	2	-0.302277	0	45	0	0.5
OTU_108	3	1	17	11.6667	0.00696056	0.152281	0	84.5221	0	1079.37	158	0	-0.712681	0	0	-0.677655	0
