ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_1	16	1791.04989651077	28551	0.0015686967093879	0.391666666666667	11	2.0711088044725	0	0	0	Firmicutes	89194	1
OTU_2	4	16.5	19	8.12436619522891e-43	0.166666666666667	10	1.83711730708738	0	0	-1	Verrucomicrobia	102995	1
OTU_3	2	2	2	6.28541473258382e-52	0	12	1	0	0	-1	Acidobacteria	56851	1
OTU_4	18	4366.02524450194	56825	0.0120272747998347	0.0980392156862745	1	2.17553654058976	0.277777777777778	0	0	Proteobacteria	63733	1
OTU_5	11	4661.75379403112	68050	0.0209457641009465	0.472727272727273	11	0.0533790928987759	0.462809917355372	0	0	Firmicutes	63590	1
OTU_6	1	0	0	5.53828282335648e-61	0	16	0	0	0	-1	Cyanobacteria/Chloroplast	24902	1
OTU_7	3	903	12269	1.60805914193878e-06	0	8	1.33394593769983	0	0	-1	Acidobacteria	20633	1
OTU_12	2	2	2	6.28541473258382e-52	0	12	1	0	0	-1	Crenarchaeota	12508	1
OTU_13	4	26180.5	429619	3.05135358568773e-06	0.333333333333333	5	0.369445869778482	0	0	0	Actinobacteria	15132	1
OTU_14	51	8043.2294228643	127838	0.209633031128941	0.252549019607843	0	2.6976317850012	0.211457131872357	2	-1	Acidobacteria	17462	1
OTU_15	32	3849.87327592087	48732	0.119799923276866	0.284274193548387	0	0.979191794452878	0.412109375	0	0	Proteobacteria	19867	1
OTU_18	1	0	0	0.000510754928473875	0	1	-0.753749044769802	0	0	-1	Proteobacteria	14650	1
OTU_19	1	0	0	5.53828282335648e-61	0	16	0	0	0	-1	Unclassified	10160	1
OTU_20	2	1	1	2.32292417991354e-54	0	14	0	0	0	-1	Verrucomicrobia	12215	1
OTU_21	17	1707.39099250174	35721	0.0342488756148109	0.272058823529412	4	2.39803057962007	0.456747404844291	0	-1	Acidobacteria	16864	1
OTU_23	1	0	0	1.17016900569035e-07	0	5	-0.97639265584313	0	0	-1	Actinobacteria	8299	1
OTU_26	1	0	0	5.33946547131595e-09	0	5	-0.97639265584313	0	0	0	Proteobacteria	7282	0
OTU_27	14	19.2706197681158	700	0.102703571357728	0.813186813186813	0	0.160887037048915	0	0	-1	Actinobacteria	9599	1
OTU_30	7	638.729205487916	9943	0.00469558800228412	0.428571428571429	1	0.2924243785729	0.244897959183674	0	0	Proteobacteria	12588	1
OTU_31	30	7272.42981241589	69761	0.0122312678256583	0.170114942528736	1	4.89558744128079	0.124444444444444	2	-1	Acidobacteria	12524	1
OTU_32	1	0	0	6.7149755509408e-08	0	8	-0.848874687627165	0	0	-1	Proteobacteria	16152	1
OTU_33	6	3895.14165044127	15679	0.00681798815284772	0.0666666666666667	7	1.73205080756888	0.5	0	0	Gemmatimonadetes	7005	1
OTU_35	3	25928	427231	1.27866474784768e-07	0	5	-0.527779813969259	0.444444444444444	0	0	Proteobacteria	6739	0
OTU_38	40	11117.2640240487	165887	0.0873049419350908	0.173076923076923	0	0.324547988529707	0.58	0	0	Nitrospira	3381	1
OTU_40	12	7781.11456693104	57462	0.00194710748691617	0.212121212121212	1	1.54783248658414	0	0	0	Actinobacteria	12327	1
OTU_41	4	455	8851	3.85404938865561e-07	0.166666666666667	5	0.369445869778482	0	0	-1	Actinobacteria	9245	1
OTU_42	15	1132.1326762705	14870	0.0103235616782843	0.342857142857143	1	1.75706717125268	0.231111111111111	0	-1	Acidobacteria	8174	1
OTU_43	8	4900.82933220196	67651	0.000914154093221563	0.178571428571429	1	0.50165906324144	0.21875	0	-1	Unclassified	5007	1
OTU_44	2	452	1719	1.19304181111928e-05	0	7	0	0	0	-1	Unclassified	8364	1
OTU_45	3	3.92763157894737	16	2.37793758206433e-13	0.333333333333333	3	-0.429006167564111	0	0	0	Proteobacteria	16766	1
OTU_47	5	879.167000791543	15376	0.0218060150525041	0.3	4	-0.406445860952554	0.48	0	-1	Actinobacteria	7200	1
OTU_49	19	721.780981625847	18251	0.0833904279905583	0.473684210526316	0	0.324547988529707	0.265927977839335	0	-1	Proteobacteria	9580	1
OTU_50	9	1352	17015	0.000428846066282356	0.444444444444444	11	0.501763473248493	0	0	-1	Firmicutes	5624	1
OTU_53	55	6964.23066854191	137102	0.254860187820422	0.282828282828283	0	3.27044511518397	0.104462809917355	2	-1	Unclassified	7040	1
OTU_55	11	417.872879167616	19235	5.49082076762994e-12	0.490909090909091	3	1.02008133176355	0	0	0	Proteobacteria	7162	0
OTU_58	37	1248.23567555446	60524	0.19401078759265	0.408408408408408	0	2.04298797907803	0	0	-1	Unclassified	9847	1
OTU_59	5	1371.94444444446	11048	2.37611284737227e-10	0.3	3	-0.0667342927321951	0	0	0	Actinobacteria	7045	0
OTU_60	50	11766.575250952	189544	0.222320095794598	0.275102040816327	0	2.94312321222239	0.0768	2	-1	Actinobacteria	6371	0
OTU_61	39	2148.54985389614	64634	0.195117884152941	0.367071524966262	0	2.12481845481843	0.0499671268902038	0	-1	Actinobacteria	6894	0
OTU_62	2	452	3026	0.00418900042900512	0	0	-0.821078671835841	0	0	0	Proteobacteria	8058	1
OTU_66	6	19.8184563372644	188	0.00114250751567018	0.733333333333333	1	0.2924243785729	0	0	-1	Crenarchaeota	4756	1
OTU_67	5	77.2763575985143	858	0.0108240673011245	0.4	0	-0.657417720355048	0.32	0	-1	Proteobacteria	2909	0
OTU_68	23	417.757639100483	27632	0.144875214452582	0.596837944664032	0	0.897361318712481	0	0	-1	Unclassified	4265	1
OTU_70	18	1434.56631887314	67817	0.0718845427470705	0.418300653594771	0	0.242717512789311	0.277777777777778	0	-1	Actinobacteria	3131	0
OTU_72	1	0	0	5.53828282335648e-61	0	17	0	0	0	1	Crenarchaeota	4122	1
OTU_75	24	365.011000407993	8464	0.115187238186158	0.438405797101449	0	0.897361318712481	0.0798611111111109	0	-1	Actinobacteria	6815	0
OTU_81	48	4518.02657881945	99553	0.209977859076514	0.273936170212766	0	2.7794622607416	0.0798611111111109	2	0	Actinobacteria	9076	1
OTU_82	1	0	0	3.10060777546666e-43	0	10	-1.22474487139159	0	0	0	Nitrospira	2887	1
OTU_83	1	0	0	0.0028913524823618	0	0	-0.902909147576237	0	0	1	Crenarchaeota	2638	1
OTU_84	1	0	0	0.000155521734573412	0	0	-0.902909147576237	0	0	-1	Proteobacteria	3048	0
OTU_88	3	729.600000000003	8525	2.80225401855617e-06	0	5	-0.0791669720953888	0	0	0	Actinobacteria	8559	1
OTU_89	3	452	2870	1.13658168833397e-11	0.333333333333333	3	-0.429006167564111	0	0	0	Actinobacteria	7742	1
OTU_93	4	453.649095117845	2745	0.00372434583132669	0.333333333333333	0	-0.657417720355048	0	0	0	Proteobacteria	5956	0
OTU_96	2	452	6135	6.72670518811582e-08	0	8	0.242535625036333	0	0	-1	Acidobacteria	2246	0
OTU_98	6	3123.83333333333	57656	5.39601133620534e-15	0.4	9	1.38975845794461	0	0	0	Proteobacteria	5570	0
OTU_102	22	2797.96192046186	55372	0.0410435257363244	0.199134199134199	4	3.33285605981094	0.462809917355372	2	-1	Acidobacteria	2358	0
OTU_103	5	573.815601881303	6389	0.00640292362264083	0.1	1	-0.544514360101262	0.48	0	-1	Proteobacteria	2075	0
OTU_106	6	760.200000000004	9010	3.20824001349669e-06	0.466666666666667	5	1.26667155352622	0	0	0	Actinobacteria	4777	0
OTU_108	3	0	0	0.0032810820971697	1	4	-0.0948373675555959	0	0	-1	Acidobacteria	2059	0
OTU_110	13	15151.421864466	260399	2.54410426666887e-10	0.461538461538462	3	1.38235320659547	0	0	0	Actinobacteria	5653	0
OTU_111	16	4252.55590116913	63961	0.0127422887831363	0.266666666666667	1	1.75706717125268	0.3046875	0	-1	Proteobacteria	3640	0
OTU_112	20	2496.70838094652	36233	1.93933192098425e-11	0.252631578947368	3	2.65030476850718	0	2	0	Actinobacteria	4521	0
OTU_115	19	3971.11517333516	46545	0.00742456150919209	0.228070175438596	1	2.80324059459538	0.0997229916897509	2	-1	Proteobacteria	1975	0
OTU_116	12	484.577950506505	3885	0.0692404608132717	0.5	0	-0.00277391443187783	0	0	0	Proteobacteria	2466	0
OTU_117	15	5479.37743645242	107086	3.05863783342809e-12	0.19047619047619	3	1.56348914401143	0.124444444444444	0	0	Proteobacteria	4434	0
OTU_118	1	0	0	0.00416424263261713	0	0	-0.902909147576237	0	0	-1	Acidobacteria	3245	0
OTU_119	18	2756.7621312755	41072	0.0913775858991584	0.503267973856209	0	0.242717512789311	0.290123456790123	0	0	Firmicutes	4213	0
OTU_121	20	5882.61964132356	142080	3.07271098422158e-11	0.342105263157895	3	2.65030476850718	0	2	0	Proteobacteria	3958	0
OTU_123	1	0	0	0.000212747258040171	0	1	-0.753749044769802	0	0	-1	Unclassified	1338	0
OTU_124	2	0	0	0.000754863770403545	1	1	-0.544514360101262	0	0	-1	Proteobacteria	3526	0
OTU_126	4	3579	49043	3.83745843768584e-05	0	8	1.33394593769983	0.375	0	-1	Acidobacteria	1185	0
OTU_128	12	7838.3096250971	142059	2.5266406142841e-10	0.212121212121212	3	1.20121726917951	0	0	0	Proteobacteria	6909	0
OTU_129	16	923.830129662167	15034	0.0539463046939482	0.458333333333333	0	0.160887037048915	0.21875	0	-1	Proteobacteria	1215	0
OTU_131	10	30959.3	475754	6.66043597315357e-05	0.2	5	2.61251007914783	0.18	2	0	Actinobacteria	9596	1
OTU_132	28	1178.9854079443	23967	0.139953096438288	0.436507936507937	0	1.22468322167407	0.068877551020408	0	-1	Acidobacteria	4002	0
OTU_134	24	2849.84395163118	44171	0.080339535767834	0.322463768115942	0	0.570039415750896	0.34375	0	0	Proteobacteria	2842	0
OTU_135	6	0	0	0.00042370046605977	1	11	-0.170813097276083	0	0	-1	Firmicutes	2240	0
OTU_136	8	8.07719298245614	52	1.66199123684313e-11	0.785714285714286	3	0.476673519515679	0	0	0	Actinobacteria	2197	0
OTU_137	28	1456.28590838591	24238	0.10670750330313	0.343915343915344	0	1.22468322167407	0.068877551020408	0	-1	Acidobacteria	1588	0
OTU_140	12	896.881970375789	12310	0.00509475004015718	0.272727272727273	1	1.12936311724706	0.291666666666667	0	0	Bacteroidetes	3778	1
OTU_141	26	7023.74189947477	104398	1.95255039062349e-11	0.224615384615385	3	3.73712039300293	0	2	0	Proteobacteria	9062	1
OTU_143	5	452.333333333333	2878	1.10511917732604e-12	0.5	3	-0.0667342927321951	0	0	0	Actinobacteria	3085	0
OTU_144	9	452.719335286361	8378	0.0436862409029273	0.611111111111111	0	-0.248265341653067	0	0	-1	Acidobacteria	1730	0
OTU_146	1	0	0	1.11807789043399e-17	0	9	-1.01559271926721	0	0	0	Proteobacteria	3121	0
OTU_148	2	0	0	0.000348209208736931	1	1	-0.544514360101262	0	0	-1	Unclassified	1280	0
OTU_150	9	95.648874471946	1333	0.0420530789593017	0.611111111111111	0	-0.330095817393463	0.197530864197531	0	-1	Acidobacteria	1042	0
OTU_151	2	0	0	0.000246971689017619	1	6	-0.326356975932253	0	0	-1	Unclassified	1819	1
OTU_161	19	148.708522505387	4162	0.106217891936151	0.608187134502924	0	0.570039415750896	0	0	0	Actinobacteria	6668	0
OTU_162	1	0	0	0.000397089467925661	0	1	-0.753749044769802	0	0	-1	Verrucomicrobia	1609	0
OTU_165	4	1486.94541145892	4832	0.0006197218888907	0.166666666666667	1	-0.335279675432721	0.375	0	-1	Actinobacteria	2630	0
OTU_167	5	25232.25503663	422027	5.38038475464265e-09	0.3	3	-0.247870230148153	0.32	0	0	Actinobacteria	3123	0
OTU_170	8	12.6523429786588	49	0.00148234866837089	0.571428571428571	1	0.710893747909981	0	0	-1	Acidobacteria	1837	0
OTU_171	1	0	0	0.00182425592752335	0	0	-0.902909147576237	0	0	-1	Proteobacteria	2010	0
OTU_174	1	0	0	0.00364569151733376	0	0	-0.902909147576237	0	0	0	Proteobacteria	1125	0
OTU_175	1	0	0	1.60245106199991e-06	0	8	-0.848874687627165	0	0	0	Gemmatimonadetes	911	1
OTU_176	11	456.105877021988	3800	0.00357341064693127	0.454545454545455	1	1.3385978019156	0	0	-1	Verrucomicrobia	2052	1
OTU_179	1	0	0	0.00171390107182294	0	4	-0.718054354349511	0	0	0	Proteobacteria	1361	0
OTU_180	9	795.170830818078	11923	0.0014435666757499	0.416666666666667	1	0.920128432578521	0	0	-1	Verrucomicrobia	3455	1
OTU_181	2	0	0	2.90780586180756e-06	1	5	-0.527779813969259	0	0	0	Proteobacteria	1244	0
OTU_185	13	435.301644043095	16601	2.9734948773001e-11	0.525641025641026	3	1.38235320659547	0	0	0	Actinobacteria	6232	0
