"","Module Membership","significance"
"",NA,NA
"OTU_1",0.935095138390269,5.4e-55
"OTU_5",0.627545704874192,1.7e-14
"OTU_50",0.850702553049359,9.5e-35
"OTU_135",0.791455824892056,5.4e-27
"OTU_188",0.620905774654851,3.9e-14
"OTU_329",0.720027623623787,1.9e-20
"OTU_597",0.90044555910799,1.8e-44
"OTU_944",0.759118570015595,9.6e-24
"OTU_1046",0.720599850773434,1.7e-20
"OTU_1251",0.668584914037688,7.2e-17
"OTU_2293",0.914980539541115,2.5e-48
"OTU_5886",0.75710179840266,1.5e-23
"OTU_7063",0.687835002473772,4e-18
"OTU_8100",0.515829579145935,1.6e-09
"OTU_8875",0.691111264523112,2.4e-18
"OTU_11791",0.91564010682441,1.6e-48
"OTU_14601",0.815654362259211,8.1e-30
"OTU_14736",0.838954840504645,5.7e-33
"OTU_18617",0.658396096197497,3e-16
"OTU_24090",0.763725782821081,3.6e-24
"OTU_2",0.898974362531797,4e-44
"OTU_5766",0.735881565821308,1e-21
"OTU_11423",0.798350583784777,9.3e-28
"OTU_12734",0.864365537758401,5e-37
"OTU_14617",0.508081196972688,3.1e-09
"OTU_20055",0.663630431444803,1.5e-16
"OTU_21739",0.821670544807358,1.4e-30
"OTU_22064",0.829468699150978,1.3e-31
"OTU_22802",0.852805480758001,4.4e-35
"OTU_4",0.848403227423981,2.2e-34
"OTU_15",0.595547030479878,7.3e-13
"OTU_33",0.775822223635073,2.4e-25
"OTU_40",0.777655075332687,1.5e-25
"OTU_44",0.644814438557731,1.9e-15
"OTU_124",0.81958221892861,2.6e-30
"OTU_165",0.659339512687965,2.7e-16
"OTU_242",0.740480142275464,4.2e-22
"OTU_267",0.714588516312571,5e-20
"OTU_365",0.683336934641023,8e-18
"OTU_390",0.568048491289391,1.3e-11
"OTU_416",0.574562192494594,6.8e-12
"OTU_473",0.749368881271992,7.3e-23
"OTU_741",0.683485136138931,7.9e-18
"OTU_983",0.64797803965632,1.2e-15
"OTU_1337",-0.564065604276554,2e-11
"OTU_1826",0.410179940448076,3.3e-06
"OTU_3148",0.644878040325785,1.9e-15
"OTU_3822",0.706415116432143,2e-19
"OTU_5062",0.616519039888855,6.6e-14
"OTU_8148",0.588351991649037,1.6e-12
"OTU_9679",0.503304275141101,4.7e-09
"OTU_9905",0.588124365978341,1.6e-12
"OTU_12359",0.678782903926767,1.6e-17
