"","No","ID","No..module","modColors"
"1",1,"OTU_1",12,"tan"
"2",2,"OTU_2",11,"greenyellow"
"3",4,"OTU_4",2,"blue"
"4",5,"OTU_5",12,"tan"
"5",7,"OTU_7",9,"magenta"
"6",9,"OTU_13",6,"red"
"7",10,"OTU_14",1,"turquoise"
"8",11,"OTU_15",1,"turquoise"
"9",12,"OTU_18",2,"blue"
"10",15,"OTU_21",5,"green"
"11",16,"OTU_23",6,"red"
"12",17,"OTU_26",6,"red"
"13",18,"OTU_27",1,"turquoise"
"14",19,"OTU_30",2,"blue"
"15",20,"OTU_31",2,"blue"
"16",21,"OTU_32",9,"magenta"
"17",22,"OTU_33",8,"pink"
"18",23,"OTU_35",6,"red"
"19",24,"OTU_38",1,"turquoise"
"20",25,"OTU_40",2,"blue"
"21",26,"OTU_41",6,"red"
"22",27,"OTU_42",2,"blue"
"23",28,"OTU_43",2,"blue"
"24",29,"OTU_44",8,"pink"
"25",30,"OTU_45",4,"yellow"
"26",31,"OTU_47",5,"green"
"27",32,"OTU_49",1,"turquoise"
"28",33,"OTU_50",12,"tan"
"29",34,"OTU_53",1,"turquoise"
"30",35,"OTU_55",4,"yellow"
"31",36,"OTU_58",1,"turquoise"
"32",37,"OTU_59",4,"yellow"
"33",38,"OTU_60",1,"turquoise"
"34",39,"OTU_61",1,"turquoise"
"35",40,"OTU_62",1,"turquoise"
"36",41,"OTU_66",2,"blue"
"37",42,"OTU_67",1,"turquoise"
"38",43,"OTU_68",1,"turquoise"
"39",44,"OTU_70",1,"turquoise"
"40",46,"OTU_75",1,"turquoise"
"41",47,"OTU_81",1,"turquoise"
"42",48,"OTU_82",11,"greenyellow"
"43",49,"OTU_83",1,"turquoise"
"44",50,"OTU_84",1,"turquoise"
"45",51,"OTU_88",6,"red"
"46",52,"OTU_89",4,"yellow"
"47",53,"OTU_93",1,"turquoise"
"48",54,"OTU_96",9,"magenta"
"49",55,"OTU_98",10,"purple"
"50",56,"OTU_102",5,"green"
"51",57,"OTU_103",2,"blue"
"52",58,"OTU_106",6,"red"
"53",59,"OTU_108",5,"green"
"54",60,"OTU_110",4,"yellow"
"55",61,"OTU_111",2,"blue"
"56",62,"OTU_112",4,"yellow"
"57",63,"OTU_115",2,"blue"
"58",64,"OTU_116",1,"turquoise"
"59",65,"OTU_117",4,"yellow"
"60",66,"OTU_118",1,"turquoise"
"61",67,"OTU_119",1,"turquoise"
"62",68,"OTU_121",4,"yellow"
"63",69,"OTU_123",2,"blue"
"64",70,"OTU_124",2,"blue"
"65",71,"OTU_126",9,"magenta"
"66",72,"OTU_128",4,"yellow"
"67",73,"OTU_129",1,"turquoise"
"68",74,"OTU_131",6,"red"
"69",75,"OTU_132",1,"turquoise"
"70",76,"OTU_134",1,"turquoise"
"71",77,"OTU_135",12,"tan"
"72",78,"OTU_136",4,"yellow"
"73",79,"OTU_137",1,"turquoise"
"74",80,"OTU_140",2,"blue"
"75",81,"OTU_141",4,"yellow"
"76",82,"OTU_143",4,"yellow"
"77",83,"OTU_144",1,"turquoise"
"78",84,"OTU_146",10,"purple"
"79",85,"OTU_148",2,"blue"
"80",86,"OTU_150",1,"turquoise"
"81",87,"OTU_151",7,"black"
"82",88,"OTU_161",1,"turquoise"
"83",89,"OTU_162",2,"blue"
"84",90,"OTU_165",2,"blue"
"85",91,"OTU_167",4,"yellow"
"86",92,"OTU_170",2,"blue"
"87",93,"OTU_171",1,"turquoise"
"88",94,"OTU_174",1,"turquoise"
"89",95,"OTU_175",9,"magenta"
"90",96,"OTU_176",2,"blue"
"91",97,"OTU_179",5,"green"
"92",98,"OTU_180",2,"blue"
"93",99,"OTU_181",6,"red"
"94",100,"OTU_185",4,"yellow"
"95",101,"OTU_187",5,"green"
"96",102,"OTU_188",12,"tan"
"97",103,"OTU_190",5,"green"
"98",104,"OTU_191",1,"turquoise"
"99",105,"OTU_194",2,"blue"
"100",106,"OTU_196",1,"turquoise"
"101",107,"OTU_197",2,"blue"
"102",108,"OTU_200",1,"turquoise"
"103",109,"OTU_202",6,"red"
"104",110,"OTU_206",1,"turquoise"
"105",111,"OTU_207",9,"magenta"
"106",112,"OTU_208",4,"yellow"
"107",113,"OTU_211",2,"blue"
"108",114,"OTU_215",5,"green"
"109",115,"OTU_216",2,"blue"
"110",116,"OTU_225",1,"turquoise"
"111",117,"OTU_226",5,"green"
"112",118,"OTU_232",1,"turquoise"
"113",119,"OTU_238",10,"purple"
"114",120,"OTU_240",10,"purple"
"115",121,"OTU_242",2,"blue"
"116",122,"OTU_244",4,"yellow"
"117",123,"OTU_245",5,"green"
"118",124,"OTU_248",6,"red"
"119",125,"OTU_267",2,"blue"
"120",126,"OTU_269",5,"green"
"121",127,"OTU_270",7,"black"
"122",128,"OTU_273",2,"blue"
"123",129,"OTU_276",4,"yellow"
"124",130,"OTU_277",1,"turquoise"
"125",131,"OTU_285",2,"blue"
"126",132,"OTU_292",2,"blue"
"127",133,"OTU_297",1,"turquoise"
"128",134,"OTU_301",1,"turquoise"
"129",135,"OTU_302",1,"turquoise"
"130",136,"OTU_304",1,"turquoise"
"131",137,"OTU_307",2,"blue"
"132",138,"OTU_310",7,"black"
"133",139,"OTU_312",1,"turquoise"
"134",140,"OTU_326",1,"turquoise"
"135",141,"OTU_329",12,"tan"
"136",142,"OTU_335",1,"turquoise"
"137",143,"OTU_338",1,"turquoise"
"138",144,"OTU_343",2,"blue"
"139",145,"OTU_347",2,"blue"
"140",146,"OTU_349",9,"magenta"
"141",147,"OTU_350",1,"turquoise"
"142",148,"OTU_354",4,"yellow"
"143",149,"OTU_363",4,"yellow"
"144",151,"OTU_365",2,"blue"
"145",152,"OTU_371",1,"turquoise"
