sample_name	NO3	NH4	TN	TC	pH	moisture	temperature_annual	FlC3	FlC4	FlTotl	plant_richness	ER_annualmean	GPP_annualmean	NEE_annualmean	Autotrophic	Heterotrophic	total_soil_respiration	amyA_fill	endoglucanase_fill	xyla_fill	ara_fill	rgl_fill	AceA_fill	cda_fill	xylanase_fill	tannase_Cdeg_fill	AceB_fill	pula_fill	mannanase_fill	acetylglucosaminidase_fill	phenol_oxidase_fill	chitinase_fill	vana_fill	vdh_fill	limeh_fill	glx_fill	pectinase (pectate_lyase)_fill	phospholipase_A2_fungi_fill	AceA_fungi_fill	mnp_fill	pme_fill	glucoamylase_fill	cutinase_fill	exoglucanase_fill	nplT_fill	alpha_galactosidase_fungi_fill	phospholipase_D_fungi_fill	chitin_deacetylase_fungi_fill	RgaE_fill	cellobiase_fill	pec_Cdeg_fill	inulinase_fill	camdcab_fill	AceB_fungi_fill	cdh_fill	axe_fill	pme_Cdeg_fill	ligninase_fill	metalloprotease_fungi_fill	lactase_fungi_fill	rgh_fill	Pg_Oomycetes_fill	pectin_lyase_Oomycetes_fill	phospholipase_C_fungi_fill	xylose_isomerase_Oomycetes_fill	endopolygalacturonase_fungi_fill	exopolygalacturonase_fungi_fill	pectate_lyase_Oomycetes_fill	apu_fill	lmo_fill	pel_Cdeg_fill	isopullulanase_fill	cellulase_GH7_Parabasalia_fill	amyx_fill	amyA	endoglucanase	xyla	ara	rgl	AceA	cda	xylanase	tannase_Cdeg	AceB	pula	mannanase	acetylglucosaminidase	phenol_oxidase	chitinase	vana	vdh	limeh	glx	pectinase (pectate_lyase)	phospholipase_A2_fungi	AceA_fungi	mnp	pme	glucoamylase	cutinase	exoglucanase	nplT	alpha_galactosidase_fungi	phospholipase_D_fungi	chitin_deacetylase_fungi	RgaE	cellobiase	pec_Cdeg	inulinase	camdcab	AceB_fungi	cdh	axe	pme_Cdeg	ligninase	metalloprotease_fungi	lactase_fungi	rgh	Pg_Oomycetes	pectin_lyase_Oomycetes	phospholipase_C_fungi	xylose_isomerase_Oomycetes	endopolygalacturonase_fungi	exopolygalacturonase_fungi	pectate_lyase_Oomycetes	apu	lmo	pel_Cdeg	isopullulanase	cellulase_GH7_Parabasalia	amyx
X10_11N_N_N_0	41.79	4.93	0.129	1.237	6.49	8.07	16.78443375	230	246	476	2	4.372905311	6.583072852	2.210167541	2.3975	1.783333333	4.180833333	0.504881053	0.405355426	0.389828387	0.674254683	0.380263295	0.353473738	0.320034924	0.342889488	1.276749285	0.481524112	0.39718138	0.869157437	0.478341835	0.256265914	0.434077096	0.634360293	0.296144395	0.421277898	0.323186719	0.605278116	0.485461288	0.197021352	0.632465438	0.969050348	0.450399249	0.600274314	0.219276583	0.228370152	0.079598495	2.109817186	0.24667023	0.388571364	0.311465556	0.211581558	0.396458317	4.742145646	0.205363805	0.838583597	0.292734516	0.521482295	0.181354478	0.254818494	0.240370061	0.266752803	0.202561354	0.266669806	0.17746813	0.282771987	0.425021559	0.310092657	1.847666892	0.104240937	0.306977664	13.61363317	0.175524859	0.677097638	0.482558957	0.835277016	0.64751581	0.661227898	1.127189126	0.675161361	0.613500396	0.520056752	0.584402953	2.25886412	0.749714757	0.649238794	1.396860166	0.80699847	0.512531828	0.765931258	0.963287852	0.740360988	0.717732715	0.689465	0.920022736	0.794391198	0.394042703	1.054109063	1.568938659	0.84717954	0.829244929	0.456826214	0.456740303	0.238795486	3.586689216	0.616675576	0.633984857	0.511045427	0.403928429	0.634333307	5.532503254	0.410727611	1.108128325	0.439101775	0.853334665	0.290167165	0.70782915	0.480740123	0.500161506	0.337602257	0.355559741	0.53240439	0.282771987	0.708369264	0.620185314	2.111619305	0.208481873	0.511629441	27.22726635	0.263287289	0.677097638	0.482558957
X10_11S_N_C_0	3.97	5.69	0.103	0.9	6.43	7.37	16.80503701	385.42	0	385.42	5	5.419330761	8.028473013	2.609142252	1.3775	1.925	3.3025	0.591939544	0.464673531	0.462262041	0.754977523	0.431109621	0.421907484	0.393393101	0.397119612	1.592360247	0.547383215	0.460607126	0.914460266	0.575301937	0.318119579	0.516001987	0.79582249	0.330034581	0.53057092	0.384050445	0.725119594	0.650546064	0.308391449	0.815420182	1.048773183	0.564479364	0.700319548	0.252676083	0.28953308	0.126854382	2.604868789	0.321856555	0.435055334	0.366928849	0.265336278	0.497050626	5.001380206	0.286376408	0.928046889	0.383823033	0.622710151	0.223251131	0.337867397	0.302430458	0.270244205	0.273824616	0.27660164	0.24449846	0.321491396	0.550348062	0.367303716	2.338659215	0.104621803	0.347661284	15.02196599	0.185813358	0.823654884	0.601018469	0.898198653	0.732754414	0.746302572	1.087763668	0.721279559	0.612577212	0.586865118	0.627705193	2.441619046	0.811182354	0.663586537	1.285959749	0.891718002	0.553902326	0.83106862	1.151601957	0.825086453	0.787298784	0.585219726	1.020538688	0.975819096	0.370069739	1.274094035	1.426331528	0.857574419	0.929136827	0.485915544	0.579066161	0.253708764	4.02570631	0.804641387	0.652583002	0.568908033	0.428620142	0.795281002	5.834943574	0.38183521	1.184059824	0.541867811	0.862214055	0.35720181	0.603334637	0.432043512	0.450407008	0.456374359	0.31611616	0.628710325	0.321491396	0.687935078	0.550955574	2.672753389	0.209243606	0.434576605	22.53294898	0.278720038	0.823654884	0.601018469
X10_12N_N_N_2	3.8	5.17	0.101	0.924	6.55	6.33	16.13734803	437	63	500	10	5.016476995	5.947537941	0.931060946	0.789166667	2.655	3.444166667	0.669900608	0.526266631	0.563989832	0.792131734	0.482187019	0.469691792	0.448969522	0.450778367	1.445222302	0.595667513	0.515482515	0.912710971	0.63474739	0.376326005	0.540042116	0.901923707	0.324776253	0.592714495	0.404595149	0.759194481	0.615856998	0.357832562	0.884266086	1.056899164	0.661956576	0.757660324	0.344747897	0.301887356	0.167885142	2.300455761	0.41890088	0.530212766	0.421924512	0.294160509	0.597678153	5.046572259	0.334438495	1.049216943	0.446285926	0.702501359	0.278058678	0.404377089	0.397870678	0.312589222	0.314569197	0.339102751	0.279393759	0.423557398	0.657740249	0.396880976	2.046279394	0.148820791	0.417900801	13.39673078	0.25046734	0.819900279	0.872414211	0.902116609	0.735577223	0.763380177	1.09104937	0.735969661	0.638950095	0.609794426	0.654463406	2.077507059	0.783605392	0.663878997	1.24460587	0.904697429	0.546041654	0.79544665	1.167753852	0.541293754	0.852027087	0.56291499	0.994806562	0.923785496	0.357832562	1.163508008	1.306711694	0.901630509	0.906486459	0.556044996	0.490566953	0.223846855	3.258978994	0.698168133	0.725143929	0.579717418	0.411824712	0.796904204	5.887667636	0.445917993	1.25229119	0.63005072	0.903216033	0.444893885	0.631839202	0.568386683	0.520982037	0.524281995	0.387546001	0.419090639	0.423557398	0.822175311	0.51027554	2.046279394	0.297641582	0.522376001	16.07607693	0.375701011	0.819900279	0.872414211
X10_12S_N_C_2	1.28	6.13	0.164	1.703	6.25	4.95	21.93687803	288.15	37.15	325.3	7	5.471551352	8.371454174	2.899902822	2.235	1.479166667	3.714166667	0.698251189	0.556209743	0.563582561	0.863293317	0.536063259	0.496083263	0.455565784	0.483323445	1.833906529	0.627149675	0.51910871	1.044949543	0.688544835	0.391675994	0.61353305	0.89916654	0.381165161	0.59215781	0.47852036	0.886342356	0.683302937	0.312887833	0.883969852	1.183520109	0.647340788	0.810178969	0.315705937	0.309064825	0.161588213	2.808775113	0.437188909	0.529037085	0.440501718	0.326247441	0.581388388	5.423077228	0.405167054	1.045019191	0.412466613	0.767239901	0.257784395	0.40425997	0.3695166	0.370326157	0.322018539	0.328824214	0.318102869	0.366143427	0.691794053	0.438039617	2.972216406	0.306203897	0.395867503	12.25669059	0.23285581	0.947809202	0.640628099	0.90419264	0.751799982	0.740392777	1.145825676	0.818201816	0.640244211	0.600818643	0.635781176	2.343325009	0.803535521	0.658570751	1.383021454	0.93310994	0.546868369	0.830357557	1.12854576	0.60639912	0.77826455	0.567135242	1.141729136	0.946111758	0.469331749	1.104962315	1.547680143	0.881722797	0.944034624	0.464273436	0.502230341	0.277008365	3.979098077	0.728648182	0.692964069	0.586179451	0.442012662	0.664443872	6.326923433	0.463048062	1.20830344	0.61869992	0.986451301	0.412455032	0.561472181	0.46189575	0.504990214	0.536697565	0.375799102	0.440450126	0.366143427	0.864742566	0.563193794	2.972216406	0.306203897	0.494834379	14.70802871	0.349283715	0.947809202	0.640628099
X10_13N_N_N_0	4.25	6.69	0.093	0.837	6.51	8.53	16.65665219	255	217	471	5	6.016272814	7.908303355	1.89203054	1.143333333	2.685833333	3.829166667	0.750743572	0.594313722	0.595672692	0.893904524	0.574616412	0.537113485	0.478774515	0.537785741	1.873234044	0.675196242	0.564855616	1.111425199	0.739019855	0.413415073	0.634603728	0.991919956	0.403948761	0.68736486	0.485056626	0.870160939	0.799941503	0.318481236	0.938272738	1.255504427	0.715599492	0.891777414	0.347446948	0.31940283	0.197995264	3.004921678	0.472710674	0.572049988	0.487240513	0.348364486	0.636195855	5.7466743	0.358949796	1.15276508	0.486529889	0.843232316	0.280746296	0.464933528	0.379567839	0.396154469	0.367899496	0.340655479	0.312956183	0.378884667	0.765376078	0.47937341	2.66438258	0.223059489	0.48478634	12.19595862	0.242014448	1.050254141	0.691722479	0.924567188	0.738389776	0.745982623	1.087583837	0.806316578	0.670282118	0.588763255	0.68445458	2.393576834	0.814207233	0.685896105	1.428975256	0.974877255	0.536714306	0.83483493	1.173136102	0.614704636	0.878299543	0.574881927	1.066648893	1.028496218	0.477721854	1.30315658	1.581005574	0.926759998	1.004186331	0.482565205	0.461359644	0.296992896	3.929512964	0.675300963	0.709341985	0.601048517	0.457228388	0.727080977	6.70445335	0.410228338	1.29249418	0.614564071	1.084155835	0.449194074	0.611754642	0.474459798	0.660257449	0.613165827	0.389320547	0.433323946	0.378884667	0.956720098	0.575248092	2.66438258	0.223059489	0.48478634	12.19595862	0.363021672	1.050254141	0.691722479
X10_13S_N_C_0	6.65	3.09	0.073	0.589	6.62	6.45	16.79315653	206.23	189.05	395.28	4	5.639775978	8.178298856	2.538522878	1.786666667	2.864166667	4.650833333	0.608333399	0.506539266	0.481660932	0.769464666	0.469229076	0.445389918	0.395981718	0.425988249	1.546099095	0.558625243	0.472442509	0.940304532	0.583255907	0.336522669	0.527921846	0.810749669	0.298256027	0.541076514	0.403268045	0.768721727	0.635884139	0.281372177	0.7762093	1.053927385	0.58556657	0.72447205	0.27925184	0.2923589	0.120761601	2.295339898	0.332310078	0.461390931	0.3867482	0.273220635	0.471781103	4.772256087	0.295801489	1.022038346	0.383470888	0.655205704	0.244990098	0.351075136	0.311662624	0.300558716	0.313051537	0.276474469	0.244956681	0.284256754	0.616936017	0.385954882	2.336807849	0.118039974	0.346541071	12.92448508	0.175738414	0.805560565	0.589605873	0.910965454	0.809147139	0.75049494	1.115978556	0.785056338	0.6466719	0.600572273	0.64723796	2.370685279	0.822885088	0.65832153	1.343292188	0.909732484	0.565969944	0.855597475	1.159560573	0.745640066	0.80288773	0.614503688	1.062233659	0.953826209	0.337646612	1.141484265	1.433341243	0.872825642	0.933454373	0.498664	0.542952242	0.241523202	3.547343479	0.830775194	0.692086396	0.594185871	0.441356411	0.754849765	5.567632101	0.394401986	1.260513959	0.541370666	0.907207898	0.391984157	0.626919886	0.445232321	0.500931193	0.521752561	0.315970822	0.629888609	0.284256754	0.771170021	0.578932324	2.670637541	0.236079948	0.433176339	19.38672762	0.263607621	0.805560565	0.589605873
X10_14N_N_N_2	2.12	5.73	0.087	0.848	6.55	7.12	16.33160187	462	74	536	7	7.273705785	8.656472352	1.382766567	0.859166667	3.063333333	3.9225	0.679518866	0.544673672	0.551904703	0.826416228	0.504099545	0.490645065	0.462233359	0.475543591	1.727576732	0.630450797	0.526753054	0.982421924	0.71975923	0.378082028	0.590674307	0.871263966	0.36916956	0.589768792	0.442840142	0.826107701	0.717778261	0.342223885	0.840189478	1.182291907	0.691795063	0.810794203	0.318338341	0.312272164	0.16318725	2.644722556	0.405528715	0.506131791	0.443422712	0.310635397	0.727365143	4.874081633	0.333890692	1.066532316	0.436264918	0.730939437	0.274438283	0.427033903	0.363711144	0.307488433	0.318306522	0.291664535	0.326247043	0.351692418	0.659728103	0.473285163	2.333311403	0.151754241	0.387029724	13.60351027	0.221757372	1.106481146	0.655992697	0.899559319	0.761305246	0.739552302	1.103568012	0.769415095	0.655640751	0.609612111	0.680339737	2.337309696	0.807765084	0.6682688	1.2814199	1.014206188	0.518112408	0.834367805	1.104798637	0.587315208	0.847792638	0.644131116	1.064138733	0.993846823	0.342223885	1.050236847	1.435640172	0.926301863	0.9530388	0.513448937	0.507442266	0.244780875	3.746690287	0.675881191	0.682177631	0.594749511	0.42086086	0.96982019	5.686428572	0.44518759	1.233177991	0.581686557	0.939779276	0.439101253	0.627991034	0.45463893	0.512480722	0.53051087	0.333330897	0.451726675	0.351692418	0.824660129	0.608509496	2.333311403	0.303508481	0.387029724	16.32421232	0.332636058	1.106481146	0.655992697
X10_14S_N_C_2	3.38	5.97	0.136	1.404	6.38	5.27	19.416165	259.88	224.45	484.33	4	6.589220507	9.088268795	2.499048288	2.396388889	2.652777778	5.049166667	0.628257745	0.521803197	0.489189055	0.772502312	0.471675883	0.45822514	0.409370271	0.444655855	1.747477056	0.590312423	0.521532263	0.941003025	0.610036778	0.378439496	0.564837748	0.850017848	0.359102009	0.548184204	0.413256457	0.745735971	0.632297941	0.302370806	0.802241409	1.093024836	0.586119656	0.74500858	0.283090666	0.251117401	0.144802742	2.614575446	0.382792272	0.456160893	0.403046364	0.304153511	0.449748747	5.025411626	0.303842474	1.020133867	0.410659161	0.678192302	0.213332089	0.376759778	0.317309722	0.303678609	0.285964623	0.2827649	0.285958796	0.472542642	0.615951249	0.413432278	2.447343773	0.257610766	0.349286586	14.39510022	0.190986557	0.873304946	0.602104794	0.874610219	0.729338559	0.66213468	1.070746876	0.746105488	0.65275468	0.547833745	0.618103174	2.511998268	0.802303073	0.671670339	1.323285504	0.869477707	0.57741284	0.81570144	1.161691059	0.661503702	0.720470668	0.528968265	1.012070246	0.875489456	0.453556209	1.055580801	1.42934017	0.873650053	0.915882108	0.471817776	0.435270161	0.248233271	3.703981882	0.956980679	0.65266097	0.572393576	0.456230266	0.899497494	5.862980231	0.347248542	1.217579131	0.615988741	0.871961531	0.426664178	0.627932963	0.396637152	0.455517913	0.476607705	0.323159886	0.467932575	0.472542642	0.769939061	0.620148418	2.447343773	0.257610766	0.436608232	21.59265033	0.286479835	0.873304946	0.602104794
X10_17N_N_N_2	0.56	2.98	0.049	0.369	6.66	6.03	16.13378874	454	82	536	5	3.709387908	5.283963419	1.574575511	0.679166667	2.488333333	3.1675	0.698560234	0.573985576	0.565507618	0.831738951	0.511641861	0.512922903	0.47384316	0.476247124	1.666983459	0.639667422	0.559173647	0.998782798	0.700798554	0.413640883	0.588884775	0.915411699	0.364364748	0.61975223	0.457199326	0.807458142	0.708881796	0.310344003	0.912115927	1.16919725	0.676744068	0.81782734	0.320455362	0.319330606	0.187368157	2.618236679	0.425644033	0.526988451	0.450112268	0.320235122	0.735268705	5.264083453	0.338543613	1.11205486	0.43779599	0.693353227	0.281322177	0.424367726	0.483762859	0.317773155	0.336470794	0.323376463	0.315315535	0.401396874	0.702264239	0.481065267	2.081957208	0.175485604	0.484526785	13.80302186	0.225322613	1.111685037	0.738049583	0.920660202	0.784446953	0.757780209	1.097294159	0.794872176	0.67939788	0.624923588	0.666745973	2.255330563	0.815327388	0.731227077	1.302760172	0.976393491	0.56684121	0.820629187	1.137329686	0.579671191	0.89089383	0.63610341	1.040115573	0.98152864	0.372412803	1.140144908	1.419739518	0.891046357	0.95294664	0.516863487	0.518912234	0.24982421	3.709168629	0.709406722	0.731491432	0.594288854	0.433866939	0.980358274	6.141430695	0.451391484	1.285813432	0.583727987	0.891454148	0.450115483	0.624070185	0.604703574	0.529621924	0.560784656	0.369573101	0.43659074	0.401396874	0.877830299	0.618512487	2.081957208	0.350971207	0.484526785	16.56362624	0.33798392	1.111685037	0.738049583
X10_17S_N_C_2	1.94	2.93	0.061	0.503	6.25	5.73	17.04453657	181.72	155.42	337.14	4	6.612036415	9.796749845	3.18471343	1.620833333	2.9175	4.538333333	0.704091946	0.565820058	0.566060322	0.825033211	0.538997292	0.492177491	0.449824972	0.501912616	1.708624994	0.629381476	0.527511693	0.999611147	0.678329642	0.394912579	0.60378271	0.921996836	0.366352367	0.614373345	0.437923549	0.803573044	0.770790838	0.311609265	0.893253447	1.168378973	0.655985292	0.817550011	0.354572627	0.305144598	0.16611117	2.644366465	0.434416651	0.54607968	0.443949677	0.310652715	0.583956549	5.259037444	0.367449285	1.101673516	0.414097264	0.751763814	0.263042645	0.423543131	0.30388082	0.33108515	0.330571285	0.319455365	0.324395912	0.37301931	0.634247839	0.396791507	2.323319271	0.196867023	0.390922085	12.87051957	0.234141147	1.043751359	0.776080613	0.915751488	0.764789749	0.736427992	1.088447429	0.822680077	0.635203428	0.584772464	0.651489223	2.183243048	0.802216803	0.659389617	1.323014753	0.914270387	0.561990977	0.815027835	1.15720011	0.582833312	0.80746211	0.53898283	1.03511104	1.067248853	0.467413897	1.175333483	1.527880195	0.893497208	0.944411219	0.521430334	0.495859972	0.284762005	3.746185826	0.724027752	0.715287468	0.59076768	0.434913801	0.667378913	6.135543684	0.419942039	1.273810002	0.621145896	0.966553475	0.420868232	0.588254349	0.434115458	0.45147975	0.550952142	0.365091846	0.449163571	0.37301931	0.792809798	0.51016051	2.323319271	0.196867023	0.488652607	15.44462348	0.351211721	1.043751359	0.776080613
X10_19N_N_N_1	1.84	2.57	0.08	0.735	6.37	6.77	16.3720066	494	132	626	7	3.679079873	4.210570452	0.531490579	0.69	2.205833333	2.895833333	0.600657251	0.473136865	0.485093943	0.779454956	0.449859098	0.42633929	0.376123669	0.40724139	1.659831261	0.531676506	0.458882422	0.873093686	0.569591774	0.321164082	0.518857356	0.825933946	0.32488662	0.493407708	0.403114942	0.712309696	0.658878376	0.293495538	0.77234131	1.109247618	0.540431803	0.681829747	0.263811547	0.239269163	0.140869984	2.391406303	0.327742426	0.428945868	0.364896001	0.262931694	0.476911855	5.216348851	0.275384568	0.945461183	0.364333072	0.605347841	0.244760596	0.346819119	0.333421454	0.29244465	0.265297719	0.250694257	0.255549214	0.31366161	0.630997519	0.354441132	2.324864985	0.210927899	0.333244905	14.18728833	0.155604556	0.890481104	0.639441016	0.873897413	0.709705298	0.698952563	1.108445684	0.738447954	0.625021678	0.570454231	0.604691761	2.386007437	0.764867956	0.609453217	1.227787997	0.861333903	0.522332793	0.805553313	1.141459273	0.668884218	0.732153373	0.560855571	1.002509943	0.988317564	0.352194645	1.016238566	1.450554577	0.837139459	0.845973945	0.454847495	0.414733215	0.211304976	4.065390716	0.655484853	0.613722549	0.540942317	0.409004857	0.635882473	6.085740326	0.367179424	1.166068792	0.514352573	0.838173934	0.391616954	0.541904874	0.416776818	0.48740775	0.442162865	0.33425901	0.511098428	0.31366161	0.788746899	0.531661697	2.324864985	0.210927899	0.416556131	21.2809325	0.233406834	0.890481104	0.639441016
X10_19S_N_C_1	3.21	3.55	0.088	0.793	6.19	5.25	17.45281888	444.59	65	509.59	6	5.213502724	7.962184759	2.748682035	1.839166667	2.624166667	4.463333333	0.514036224	0.40678085	0.400785154	0.676311872	0.39448348	0.353342984	0.309744919	0.351033981	1.552725798	0.473653139	0.372320937	0.82388082	0.502237711	0.276609551	0.457536254	0.696524961	0.279442679	0.419268007	0.331863262	0.616241872	0.527461674	0.227497136	0.638879766	0.970203908	0.480885197	0.584543042	0.209447129	0.225648446	0.100740112	2.469247125	0.315530208	0.387655885	0.302852535	0.218036785	0.393043317	4.645576041	0.221292989	0.813247804	0.313024998	0.573807944	0.193535508	0.248353353	0.197162009	0.241621672	0.229804498	0.210353669	0.204445425	0.168961447	0.458079906	0.298406117	2.064980758	0.216237194	0.271876416	14.23789541	0.174703934	0.790867547	0.473314874	0.862929588	0.72513108	0.688528342	1.08906103	0.660001206	0.606304438	0.587224742	0.608873099	2.380846224	0.776791148	0.620534896	1.373134699	0.877147552	0.545842848	0.801851673	1.084462914	0.698606697	0.714308456	0.530981219	0.996476218	0.949431014	0.454994272	0.998249634	1.434214473	0.863407513	0.833284762	0.498683642	0.451296892	0.241776268	3.816109193	0.631060415	0.611050802	0.522266106	0.416252044	0.628869308	6.503806457	0.442585977	1.253757032	0.469537497	0.794503308	0.387071015	0.689870425	0.492905023	0.453040636	0.459608996	0.33656587	0.525716807	0.337922894	0.76346651	0.537131011	2.753307678	0.216237194	0.453127361	21.35684311	0.262055901	0.790867547	0.473314874
X10_23N_N_N_1	0.85	4.64	0.093	1.008	6.63	6.17	16.1802696	558	68	626	1	3.873619761	5.26221487	1.388595109	1.470833333	2.280833333	3.751666667	0.671152303	0.514014699	0.524104443	0.851643448	0.513041605	0.478008913	0.419783506	0.449201131	1.7959207	0.602817623	0.511215579	1.024497572	0.652056953	0.389055317	0.585791184	0.864658358	0.358445126	0.585978564	0.429984363	0.922992797	0.715659036	0.329963706	0.872502964	1.185419959	0.644097929	0.782189456	0.305484492	0.281874149	0.16172197	2.520083588	0.386567895	0.504381353	0.427692824	0.328781695	0.560520523	5.337132621	0.294499799	1.117065515	0.412664569	0.680454583	0.287533483	0.418200728	0.385337435	0.335235175	0.309241078	0.295187829	0.313551896	0.333829804	0.664996045	0.429644346	2.16977057	0.228305711	0.377924871	12.17330449	0.185198607	0.868049956	0.619728885	0.920508334	0.702486756	0.724020571	1.158446678	0.783063502	0.633152157	0.570153717	0.611412651	2.294787562	0.810345002	0.678958191	1.376190768	0.918807524	0.570100861	0.845961012	1.096422454	0.660293654	0.816818605	0.573312484	1.230657063	0.990912512	0.395956447	1.148030216	1.580559946	0.925158843	0.927552099	0.492716923	0.488581859	0.242582955	3.894674637	0.644279825	0.700111431	0.592459732	0.476166593	0.747360697	6.226654725	0.392666398	1.252467395	0.582585274	0.942167884	0.460053573	0.61500107	0.481671794	0.558725291	0.515401797	0.337357518	0.564393413	0.333829804	0.831245056	0.594892171	2.16977057	0.228305711	0.472406089	14.60796539	0.277797911	0.868049956	0.619728885
X10_23S_N_C_1	1.34	5.02	0.117	1.212	6.8	5.43	16.79724074	698.75	0	698.75	3	6.584059884	8.606371453	2.022311569	1.835833333	2.205	4.040833333	0.628072468	0.507482205	0.508366905	0.777326316	0.464646037	0.419057689	0.389327206	0.434414217	1.650677474	0.575696484	0.500221374	0.961397646	0.615500243	0.339018202	0.536541354	0.797345564	0.303440975	0.534837945	0.400207608	0.737784132	0.650049719	0.284965373	0.717816946	1.104851598	0.602185267	0.76046171	0.288020015	0.3069264	0.14666783	2.702954507	0.371482684	0.465147637	0.384500399	0.270744747	0.622442137	5.066165519	0.270495739	1.004593829	0.3863236	0.675781801	0.246451923	0.285453673	0.31193304	0.265372562	0.254969973	0.289065735	0.253036871	0.350996183	0.56666308	0.375956497	2.020305492	0.120247617	0.332142213	13.17580627	0.235573529	0.921750683	0.572248495	0.952052648	0.743098943	0.820736931	1.158057573	0.762720853	0.652347537	0.68132261	0.660040205	2.531038793	0.879635622	0.745944155	1.491823933	0.936466627	0.583426673	0.866849625	1.101949487	0.663777133	0.768829546	0.609840165	1.038362853	0.975074578	0.42744806	0.996967981	1.502598173	0.991096586	0.970493991	0.576040031	0.4987554	0.251430566	4.177293328	0.619137807	0.697721455	0.590732431	0.437356899	0.99590742	5.910526438	0.540991478	1.238999056	0.5794854	0.935697878	0.394323077	0.648758347	0.3899163	0.497573553	0.509939946	0.38542098	0.506073741	0.350996183	0.708328851	0.615201541	2.693740656	0.240495233	0.415177767	19.7637094	0.353360293	0.921750683	0.572248495
