sample_name	NO3	NH4	TN	TC	pH	moisture	temperature_annual	FlC3	FlC4	FlTotl	plant_richness	ER_annualmean	GPP_annualmean	NEE_annualmean	Autotrophic	Heterotrophic	total_soil_respiration	amyA_fill	endoglucanase_fill	xyla_fill	ara_fill	rgl_fill	AceA_fill	cda_fill	xylanase_fill	tannase_Cdeg_fill	AceB_fill	pula_fill	mannanase_fill	acetylglucosaminidase_fill	phenol_oxidase_fill	chitinase_fill	vana_fill	vdh_fill	limeh_fill	glx_fill	pectinase (pectate_lyase)_fill	phospholipase_A2_fungi_fill	AceA_fungi_fill	mnp_fill	pme_fill	glucoamylase_fill	cutinase_fill	exoglucanase_fill	nplT_fill	alpha_galactosidase_fungi_fill	phospholipase_D_fungi_fill	chitin_deacetylase_fungi_fill	RgaE_fill	cellobiase_fill	pec_Cdeg_fill	inulinase_fill	camdcab_fill	AceB_fungi_fill	cdh_fill	axe_fill	pme_Cdeg_fill	ligninase_fill	metalloprotease_fungi_fill	lactase_fungi_fill	rgh_fill	Pg_Oomycetes_fill	pectin_lyase_Oomycetes_fill	phospholipase_C_fungi_fill	xylose_isomerase_Oomycetes_fill	endopolygalacturonase_fungi_fill	exopolygalacturonase_fungi_fill	pectate_lyase_Oomycetes_fill	apu_fill	lmo_fill	pel_Cdeg_fill	isopullulanase_fill	cellulase_GH7_Parabasalia_fill	amyx_fill	amyA	endoglucanase	xyla	ara	rgl	AceA	cda	xylanase	tannase_Cdeg	AceB	pula	mannanase	acetylglucosaminidase	phenol_oxidase	chitinase	vana	vdh	limeh	glx	pectinase (pectate_lyase)	phospholipase_A2_fungi	AceA_fungi	mnp	pme	glucoamylase	cutinase	exoglucanase	nplT	alpha_galactosidase_fungi	phospholipase_D_fungi	chitin_deacetylase_fungi	RgaE	cellobiase	pec_Cdeg	inulinase	camdcab	AceB_fungi	cdh	axe	pme_Cdeg	ligninase	metalloprotease_fungi	lactase_fungi	rgh	Pg_Oomycetes	pectin_lyase_Oomycetes	phospholipase_C_fungi	xylose_isomerase_Oomycetes	endopolygalacturonase_fungi	exopolygalacturonase_fungi	pectate_lyase_Oomycetes	apu	lmo	pel_Cdeg	isopullulanase	cellulase_GH7_Parabasalia	amyx
X10_10N_H_N_1	5.47	5.12	0.116	1.136	6.93	6.97	18.59269886	309	63	372	1	2.52997944	4.382960026	1.852980586	1.875	2.199166667	4.074166667	0.656487271	0.523652334	0.524801653	0.79694698	0.510676513	0.457832052	0.41530028	0.460158969	1.629433697	0.585003413	0.481680394	0.908980001	0.625378404	0.354297631	0.553090409	0.870820233	0.335465561	0.545994485	0.42273725	0.746138964	0.634275053	0.317205608	0.808916832	1.14932677	0.620073983	0.769070999	0.308059394	0.258305365	0.140152861	2.473724026	0.386932291	0.507447508	0.402980673	0.284948419	0.568829666	5.306513027	0.344627675	1.058431204	0.433067242	0.66134443	0.234644516	0.399570284	0.317273843	0.353621314	0.306959177	0.279199109	0.289313053	0.357434496	0.640803826	0.435251284	2.042267445	0.214801566	0.3543376	13.83036793	0.197437143	0.866628243	0.70863617	0.903735724	0.723699293	0.724983727	1.064215785	0.79337244	0.634244403	0.555769492	0.630707398	2.204527943	0.790718899	0.671193991	1.278253126	0.881215023	0.529657064	0.810050258	1.092968251	0.617962875	0.717592752	0.563649667	0.994851952	0.878226997	0.380646729	1.1234956	1.447300378	0.859400783	0.903995736	0.466756658	0.419746219	0.240262048	3.823028041	0.644887152	0.694009092	0.572300283	0.427422628	0.650091047	6.190931865	0.3938602	1.305398485	0.577422989	0.915707672	0.375431226	0.554958728	0.396592303	0.530431971	0.511598628	0.372265479	0.43396958	0.357434496	0.801004783	0.652876925	2.042267445	0.214801566	0.442922	20.7455519	0.296155715	0.866628243	0.70863617
X10_10S_H_C_1	2.65	3.6	0.082	0.733	6.76	7.43	18.60978595	400.9	0	400.9	2	4.889235548	8.733524752	3.844289204	0.680833333	2.849166667	3.53	0.67573032	0.558889222	0.535555128	0.812565109	0.493486528	0.464535165	0.444600817	0.4718641	1.545277839	0.610397081	0.522295003	0.940771876	0.642782585	0.382527965	0.556736567	0.93188874	0.353092557	0.592723083	0.434317851	0.793343246	0.667243688	0.334243483	0.911609953	1.138714523	0.62430055	0.803097203	0.327344828	0.311023342	0.16124046	2.640305764	0.452721015	0.518190455	0.429465805	0.306933808	0.576273913	5.013709886	0.36082578	1.030191747	0.408985624	0.714400901	0.27785812	0.38540731	0.307343159	0.323208077	0.34140738	0.331161811	0.321722413	0.392242109	0.639371113	0.418745503	2.155929236	0.206930628	0.443848297	14.18496881	0.214874605	0.8782665	0.666890864	0.917460013	0.781174708	0.747545699	1.091728582	0.75321628	0.609954869	0.613010217	0.670183794	2.221336893	0.807299366	0.683001158	1.28287074	0.921445555	0.566141388	0.815390382	1.193982448	0.617911975	0.77900748	0.555926849	1.004901445	0.857884741	0.40109218	1.139512442	1.433936807	0.913328582	0.927715735	0.511476294	0.475682758	0.24186069	4.080472545	0.905442029	0.708701651	0.599832405	0.477452591	0.92203826	5.849328201	0.48110104	1.229583698	0.57739147	0.918515444	0.444572993	0.566775456	0.439061656	0.440738287	0.487724828	0.378470641	0.445461802	0.392242109	0.799213891	0.579801466	2.155929236	0.206930628	0.554810371	17.02196257	0.322311908	0.8782665	0.666890864
X10_15N_H_N_0	5.97	4.39	0.083	0.722	6.29	6.37	20.14195956	292	63	355	3	4.376485616	6.30349092	1.927005304	1.0625	2.503333333	3.565833333	0.816324555	0.695688014	0.657350036	0.902733853	0.593112157	0.62053234	0.566450305	0.624919589	1.365817067	0.772041768	0.679924255	0.990726465	0.814611637	0.496005875	0.669952767	1.032871682	0.444531724	0.950655015	0.641593111	0.925183013	0.932240305	0.330815828	1.096366699	1.133976789	0.758989063	0.994890706	0.491036463	0.303357002	0.279041687	2.136721081	0.496619992	0.704437488	0.605463681	0.503040634	0.822565567	4.083129316	0.45090108	1.233379842	0.539746006	0.902022154	0.413108163	0.481843691	0.537529349	0.458838944	0.53216289	0.506336722	0.462559724	0.958832909	1.146476476	0.688371217	2.199812673	0.315964742	0.560609013	8.869350218	0.32026106	1.014039802	0.630744018	0.998702093	0.847224017	0.82322341	1.142767131	0.860012628	0.749603067	0.706122983	0.785155381	1.745210696	0.900105568	0.813993827	1.273791169	1.015194401	0.632835081	0.853117193	1.187319784	0.676461318	1.181895424	0.76040665	1.116093794	1.118688366	0.396978994	1.370458373	1.329490029	0.982953049	1.149270298	0.701480661	0.606714004	0.41856253	2.421617225	0.709457132	0.839906235	0.715547987	0.621403136	0.822565567	4.763650869	0.51531552	1.382880429	0.681784429	1.248953751	0.550810885	0.669227348	0.597254832	0.62568947	0.665203612	0.578670539	0.64046731	0.958832909	1.273862751	0.826045461	2.199812673	0.315964742	0.700761266	8.869350218	0.48039159	1.014039802	0.630744018
X10_15S_H_C_0	22.94	4.31	0.091	0.766	6.16	5.87	20.02985557	400.23	11.69	411.92	3	4.591545915	6.393535032	1.801989117	1.110833333	2.583333333	3.694166667	0.677113711	0.524894621	0.557775153	0.824485722	0.50560513	0.497896113	0.431072999	0.487066802	1.584423885	0.601851665	0.50347942	1.01934531	0.656575266	0.35838086	0.586044375	0.862310771	0.331956467	0.582528552	0.47443715	0.795155432	0.707674865	0.295630641	0.84421778	1.238152471	0.632227825	0.766213098	0.298540176	0.30306688	0.148952319	2.864513523	0.356359229	0.523263073	0.420676671	0.292954909	0.57632575	5.725291778	0.265385474	1.072353031	0.378938482	0.671444583	0.259336894	0.363496514	0.431954423	0.34147899	0.309680656	0.275177688	0.260987584	0.299766187	0.643343096	0.387575389	2.302331873	0.180095205	0.364650346	11.4871273	0.233501542	0.916950626	0.70552607	0.944395439	0.733659527	0.770534748	1.128514832	0.771713094	0.683475573	0.622660999	0.667588065	2.429449956	0.822530608	0.67929763	1.411401199	0.941217723	0.541228237	0.863204963	1.128342818	0.611498755	0.788126865	0.66008647	1.00719688	0.979857505	0.354756769	1.055272225	1.588572982	0.876245582	0.924977975	0.481516413	0.492483681	0.255346832	4.058060824	0.890898073	0.715639202	0.568754859	0.439432363	0.9221212	6.679507074	0.424616758	1.279905231	0.534971974	0.863285892	0.414939031	0.567963303	0.539943029	0.512218484	0.516134426	0.314488786	0.521975169	0.299766187	0.80417887	0.581363083	2.302331873	0.360190409	0.455812933	13.78455276	0.350252313	0.916950626	0.70552607
X10_16N_H_N_1	6.03	3.31	0.102	0.988	6.39	7.03	18.74095051	398	63	461	2	3.47642491	5.734048523	2.257623614	1.058333333	2.431666667	3.49	0.725522014	0.638955685	0.59326957	0.831589388	0.570264584	0.546528372	0.488740302	0.594108203	1.370598321	0.663816229	0.600381751	0.969198475	0.756621382	0.45233193	0.592104982	0.929181615	0.403930947	0.767034638	0.577336757	0.798752007	0.932407023	0.269744821	0.869379081	1.022254288	0.67062581	0.943235122	0.460252185	0.34700731	0.268914074	2.011742251	0.455077899	0.634291019	0.531686101	0.406766478	0.370573025	3.626273844	0.42000347	1.080584831	0.420146755	0.641757318	0.407884596	0.469676268	0.596899582	0.373253265	0.412866284	0.415767166	0.372585842	0.486392306	0.952504218	0.478618358	2.017534248	0.363107099	0.51338388	8.588530851	0.367727671	1.164157335	0.676246713	0.99692099	0.883051115	0.819568272	1.124185654	0.902054887	0.730316675	0.729104385	0.814302152	1.970235086	0.902203272	0.864956759	1.362935355	1.060124874	0.643703131	0.864740891	1.142893386	0.744083324	1.069199799	0.769782343	1.065002675	1.291025109	0.404617231	1.278498648	1.33679407	0.963262526	1.149031876	0.742342233	0.563886879	0.403371112	3.109056206	0.758463166	0.830831898	0.724636703	0.610149717	0.494097367	5.076783382	0.480003965	1.332721291	0.630220132	1.050148339	0.652615353	0.733869169	0.663221758	0.559879897	0.589808977	0.554356221	0.558878763	0.972784612	1.190630273	0.783193677	2.017534248	0.363107099	0.641729851	8.588530851	0.551591506	1.164157335	0.676246713
X10_16S_H_C_1	9.89	2.76	0.1	0.894	6.25	7.12	19.53367251	306	102.43	408.43	3	4.69565199	7.512721938	2.817069949	1.603333333	2.320833333	3.924166667	0.640259761	0.473206948	0.472885748	0.773708184	0.427372233	0.421859488	0.383822578	0.416244205	1.775576395	0.541217522	0.463667705	0.951434304	0.571491887	0.326476625	0.514143274	0.773243868	0.314887906	0.507321565	0.398658033	0.716425702	0.649991699	0.261800647	0.765663664	1.031604983	0.565160417	0.717008668	0.281334594	0.268581543	0.147471677	2.607086749	0.320539619	0.442557242	0.367128574	0.276863308	0.488473274	4.963119124	0.278638835	1.060685298	0.363993942	0.612761099	0.267037875	0.316578454	0.270061937	0.283618303	0.253993941	0.278341075	0.277475411	0.296568533	0.564744382	0.377390362	2.281193888	0.199792587	0.311296209	13.39733538	0.177484193	0.884161916	0.517157798	0.930602826	0.669016719	0.704074336	1.100273326	0.688544153	0.60667412	0.529209918	0.608834807	2.722550472	0.752200624	0.635673466	1.337954491	0.858969624	0.536872672	0.784106408	1.0451538	0.612282039	0.72927475	0.531544045	0.972292024	0.835703613	0.392700971	0.95707958	1.349021901	0.826808759	0.889621866	0.485059644	0.436445007	0.25280859	4.029134067	0.641079238	0.633197285	0.553970795	0.415294962	0.781557239	5.790305645	0.371518447	1.353288138	0.545990912	0.919141648	0.4272606	0.527630757	0.450103229	0.472697171	0.362848487	0.318104085	0.454050673	0.296568533	0.705930477	0.566085543	2.607078729	0.199792587	0.518827015	20.09600308	0.26622629	0.884161916	0.517157798
X10_18N_H_N_0	6.43	2.66	0.077	0.637	6.32	8.83	18.07430468	426	90	516	5	3.964352048	6.525278282	2.560926233	2.1025	2.030833333	4.133333333	0.758488377	0.595207591	0.611372026	0.922762279	0.553540979	0.546822115	0.490680026	0.534552676	1.852804826	0.709119999	0.590199787	1.104635114	0.736764825	0.416918604	0.646502403	1.007035395	0.410031212	0.7190365	0.496142945	0.887311683	0.820735063	0.41906552	1.103264375	1.28719403	0.717512194	0.899577617	0.379975317	0.312066487	0.179104865	2.838865658	0.442643096	0.585294699	0.50743532	0.366043024	0.661295927	5.607770746	0.381542105	1.23280195	0.464687202	0.842602141	0.345931809	0.450003729	0.388107172	0.359470398	0.371592936	0.386264767	0.361991644	0.489553937	0.760132481	0.495574715	2.574055123	0.177674875	0.446086551	12.92975384	0.193446826	1.013120837	0.756238477	0.938779609	0.739500341	0.765643472	1.161407696	0.789476478	0.671301946	0.595358432	0.680339769	2.242868999	0.826746539	0.696763638	1.420245147	0.927500897	0.541262749	0.827331046	1.157620127	0.623960541	0.89393727	0.567020509	1.053682624	0.984882076	0.41906552	1.31340997	1.458819901	0.929237104	0.996226452	0.527743495	0.540915245	0.268657297	3.21738108	0.63234728	0.706914376	0.591424614	0.439251629	0.661295927	6.542399203	0.43604812	1.38223249	0.586973308	1.083345609	0.461242411	0.59211017	0.431230191	0.449337998	0.464491169	0.386264767	0.501219199	0.489553937	0.844591645	0.594689658	2.574055123	0.177674875	0.557608188	15.51570461	0.29017024	1.013120837	0.756238477
X10_18S_H_C_0	4.95	3.34	0.094	0.907	6.37	8.17	19.8446459	345.99	116.3	462.29	6	4.851412064	7.933017834	3.081605769	0.979166667	2.6975	3.676666667	0.672798462	0.532418738	0.53537942	0.825603499	0.494322002	0.464292261	0.457304304	0.464398306	1.669427681	0.607378625	0.502932088	1.019813053	0.654090545	0.362245765	0.579703032	0.869193358	0.365752664	0.567170867	0.429464551	0.820797566	0.696005539	0.326600393	0.931106201	1.195020519	0.618563779	0.793075489	0.303270387	0.293234377	0.16429477	2.83149773	0.350850026	0.49925427	0.427350465	0.311596001	0.569007042	5.469845065	0.296575405	1.054018953	0.406679277	0.720449724	0.257738477	0.379457984	0.403996957	0.319546762	0.28246401	0.31991823	0.286065949	0.431595096	0.676289006	0.428658539	2.59396699	0.195999402	0.332947059	11.9948292	0.21536073	1.007910433	0.774796573	0.939259565	0.74417619	0.732049411	1.123025878	0.754491477	0.631604788	0.650229558	0.645546582	2.559789111	0.820962317	0.689503669	1.412048843	0.932266983	0.547065032	0.851438828	1.162073729	0.673754907	0.790601815	0.597515897	1.057298559	0.963699978	0.391920472	1.163882752	1.533233873	0.857307694	0.957406446	0.489145785	0.476505862	0.281648177	4.01128845	0.877125065	0.682803634	0.577777829	0.451276967	0.910411268	6.381485909	0.474520648	1.258022621	0.574135449	0.926292503	0.412381563	0.592903101	0.504996197	0.479320142	0.47077335	0.365620834	0.572131899	0.431595096	0.845361258	0.642987808	2.59396699	0.391998803	0.416183824	14.39379504	0.323041096	1.007910433	0.774796573
X10_1N_H_N_1	2.85	3.43	0.062	0.493	6.47	6.85	18.16958944	375	129	505	6	3.598363484	6.932642416	3.334278932	0.8175	1.565	2.3825	0.706308657	0.534440574	0.548956799	0.848110596	0.511081817	0.481249404	0.449832667	0.480055958	1.622295735	0.627126476	0.50581508	1.011405785	0.680110987	0.372974119	0.577161011	0.906296667	0.339444501	0.577043252	0.440577307	0.785605478	0.658345756	0.325182249	0.846771463	1.20344736	0.672225134	0.78683243	0.344345808	0.299275768	0.156255225	2.681018063	0.394313368	0.579364152	0.425943305	0.307261475	0.602107924	5.428562408	0.36075086	1.109718498	0.432442714	0.6935758	0.313741162	0.394576173	0.433687585	0.325888403	0.333339988	0.279743198	0.289823189	0.319108251	0.664834641	0.380589082	2.274119829	0.197294165	0.391837459	14.14832543	0.243030257	1.086735587	0.728684554	0.948562938	0.747002166	0.750614399	1.13253793	0.780072247	0.637444386	0.584782467	0.640074611	2.1948707	0.843022476	0.682448918	1.379189707	0.937041804	0.541178133	0.813057882	1.12600495	0.594027877	0.780705576	0.612977123	1.029414075	0.911555662	0.390218699	1.176071476	1.515452231	0.885096427	0.916830832	0.521736073	0.486323123	0.234382837	4.143391552	0.788626737	0.769726658	0.575875349	0.444999378	0.802810566	6.33332281	0.412286697	1.283112013	0.576590285	1.0403637	0.50198586	0.548022463	0.481875094	0.488832605	0.476199982	0.37299093	0.434734784	0.319108251	0.831043301	0.570883623	2.274119829	0.197294165	0.489796824	14.14832543	0.364545386	1.086735587	0.728684554
X10_1S_H_C_1	7.37	3.83	0.092	0.881	6.49	5.67	18.65152352	312.43	258.08	570.51	5	5.152755832	8.290805538	3.138049706	1.084166667	2.536666667	3.620833333	0.662375694	0.54135471	0.514686176	0.811609724	0.487116514	0.462686421	0.43805483	0.457037768	1.717642751	0.59202364	0.50100855	0.973236274	0.64832243	0.37435055	0.564453075	0.887169419	0.329108902	0.579549308	0.423311437	0.817274794	0.672777941	0.324561675	0.935708041	1.117247126	0.602122254	0.776478513	0.310122775	0.277283269	0.168603258	2.651388268	0.364858338	0.503787889	0.407521538	0.296275085	0.520658823	5.097873715	0.307664605	1.025646817	0.391566988	0.680025213	0.247415977	0.382296637	0.352857046	0.317891847	0.306985481	0.316896658	0.31227207	0.428418118	0.661988964	0.371675135	2.525541967	0.243361679	0.392814524	13.66046542	0.190705811	0.909579018	0.621842836	0.900151585	0.765363555	0.73370157	1.077227452	0.743493626	0.618280084	0.60398469	0.653864252	2.469111455	0.791509867	0.655165027	1.327140374	0.940257092	0.554038814	0.829040454	1.136685818	0.639933976	0.761693376	0.54183864	1.052760752	0.86500021	0.38947401	1.169635052	1.406903789	0.880882557	0.920779829	0.484566836	0.450585312	0.252904888	4.09760005	0.729716676	0.689004024	0.583653729	0.444412628	0.833054117	5.947519334	0.61532921	1.224159104	0.552800453	0.941573372	0.395865563	0.597338495	0.504081494	0.433488882	0.438550687	0.362167609	0.468408104	0.428418118	0.827486205	0.51462711	2.525541967	0.243361679	0.491018155	16.3925585	0.286058717	0.909579018	0.621842836
