#module: 29
modularity: 0.7789681
No	ID	No. module	Zi	Pi
1	"OTU_1"	4	2.15558616718004	0
2	"OTU_2"	12	0	0
3	"OTU_4"	9	1	0
4	"OTU_5"	4	0.61588176205144	0
5	"OTU_6"	11	0	0
6	"OTU_7"	10	-1.20604537831106	0
7	"OTU_12"	27	0	0
8	"OTU_13"	2	1.12576868619846	0
9	"OTU_14"	1	2.58238049099349	0
10	"OTU_15"	9	-1	0
11	"OTU_19"	11	0	0
12	"OTU_21"	1	3.70303617576425	0.13265306122449
13	"OTU_23"	2	-0.407192929050508	0
14	"OTU_25"	0	-0.805344649586667	0
15	"OTU_26"	2	-0.790433332862751	0
16	"OTU_31"	8	1.73205080756888	0
17	"OTU_32"	1	-0.406034668395203	0
18	"OTU_35"	2	3.42521110907192	0.244897959183674
19	"OTU_36"	0	-0.805344649586667	0
20	"OTU_38"	3	0.131876094679157	0
21	"OTU_39"	16	0	0
22	"OTU_40"	2	-0.407192929050508	0
23	"OTU_41"	2	-0.0239525252382652	0
24	"OTU_42"	10	0.603022689155527	0
25	"OTU_43"	8	0.866025403784439	0
26	"OTU_45"	19	0	0
27	"OTU_47"	6	0	0
28	"OTU_49"	1	-0.406034668395203	0
29	"OTU_50"	4	0.92382264307716	0
30	"OTU_53"	6	1	0
31	"OTU_55"	0	-0.349489187556478	0
32	"OTU_58"	6	0	0.375
33	"OTU_59"	0	0.334294005488805	0
34	"OTU_61"	6	1	0.32
35	"OTU_70"	1	-0.77958656331879	0
36	"OTU_72"	1	-0.77958656331879	0
37	"OTU_73"	2	-0.407192929050508	0
38	"OTU_75"	6	0	0
39	"OTU_80"	17	0	0
40	"OTU_81"	1	-0.406034668395203	0.444444444444444
41	"OTU_87"	17	0	0
42	"OTU_88"	2	-0.407192929050508	0
43	"OTU_89"	0	1.47393266056428	0.152777777777778
44	"OTU_96"	1	-0.77958656331879	0
45	"OTU_97"	16	0	0
46	"OTU_98"	0	1.47393266056428	0
47	"OTU_102"	1	2.58238049099349	0
48	"OTU_106"	2	0.742528282386221	0
49	"OTU_108"	1	-0.0324827734716162	0
50	"OTU_110"	0	1.70186039157937	0.142011834319526
51	"OTU_111"	3	-0.725318520735366	0
52	"OTU_112"	0	1.92978812259447	0
53	"OTU_115"	3	0.989070710093681	0.375
54	"OTU_117"	0	3.06942677766994	0
55	"OTU_120"	2	-0.407192929050508	0
56	"OTU_121"	0	2.15771585360956	0.124444444444444
57	"OTU_123"	8	-0.866025403784439	0
58	"OTU_126"	1	0.714621016375557	0
59	"OTU_128"	2	0.742528282386221	0.277777777777778
60	"OTU_131"	2	2.65873030144743	0
61	"OTU_135"	4	0.30794088102572	0
62	"OTU_136"	0	0.5622217365039	0
63	"OTU_137"	15	0	0
64	"OTU_138"	0	-0.805344649586667	0
65	"OTU_139"	1	-0.406034668395203	0
66	"OTU_140"	1	-0.0324827734716162	0.375
67	"OTU_141"	0	3.98113770173032	0
68	"OTU_143"	0	0.334294005488805	0
69	"OTU_148"	3	-0.725318520735366	0
70	"OTU_150"	27	0	0
71	"OTU_151"	26	0	0
72	"OTU_161"	1	-0.77958656331879	0
73	"OTU_167"	2	0.742528282386221	0.448979591836735
74	"OTU_170"	3	0.131876094679157	0
75	"OTU_176"	3	2.70345994092273	0
76	"OTU_180"	1	1.46172480622273	0.345679012345679
77	"OTU_185"	0	0.5622217365039	0
78	"OTU_187"	1	2.2088285960699	0
79	"OTU_188"	4	-0.92382264307716	0
80	"OTU_189"	0	0.790149467518994	0
81	"OTU_190"	1	-0.406034668395203	0
82	"OTU_202"	2	1.50900909001071	0.21875
83	"OTU_204"	4	-1.23176352410288	0
84	"OTU_205"	0	-0.349489187556478	0
85	"OTU_207"	1	-0.406034668395203	0
86	"OTU_208"	0	-0.577416918571572	0
87	"OTU_210"	22	0	0
88	"OTU_211"	3	-0.725318520735366	0
89	"OTU_214"	2	0.359287878573978	0
90	"OTU_215"	1	0.34106912145197	0
91	"OTU_216"	7	0	0
92	"OTU_221"	1	-0.77958656331879	0
93	"OTU_223"	1	-0.0324827734716162	0
94	"OTU_225"	4	-0.61588176205144	0
95	"OTU_232"	1	-0.0324827734716162	0
96	"OTU_234"	14	0	0
97	"OTU_238"	0	0.5622217365039	0
98	"OTU_240"	0	0.790149467518994	0
99	"OTU_244"	0	0.106366274473711	0
100	"OTU_245"	1	0.34106912145197	0
101	"OTU_264"	3	-0.725318520735366	0
102	"OTU_269"	1	-0.77958656331879	0
103	"OTU_276"	0	-0.805344649586667	0
104	"OTU_279"	16	0	0
105	"OTU_285"	3	0.131876094679157	0.444444444444444
106	"OTU_287"	1	-0.406034668395203	0
107	"OTU_292"	1	-0.77958656331879	0
108	"OTU_299"	2	-0.790433332862751	0.5
109	"OTU_301"	1	-0.77958656331879	0
110	"OTU_302"	1	-0.77958656331879	0
111	"OTU_321"	2	-0.407192929050508	0
112	"OTU_329"	4	-0.61588176205144	0
113	"OTU_348"	2	-0.0239525252382652	0
114	"OTU_374"	18	0	0
115	"OTU_376"	3	-0.725318520735366	0
116	"OTU_378"	0	-0.805344649586667	0
117	"OTU_382"	0	0.334294005488805	0
118	"OTU_386"	1	-0.77958656331879	0
119	"OTU_422"	2	-0.790433332862751	0
120	"OTU_423"	0	1.01807719853409	0
121	"OTU_440"	1	0.34106912145197	0
122	"OTU_462"	0	-0.805344649586667	0
123	"OTU_464"	0	0.106366274473711	0
124	"OTU_475"	0	-0.805344649586667	0
125	"OTU_478"	26	0	0
126	"OTU_487"	0	0.106366274473711	0
127	"OTU_492"	0	-0.805344649586667	0
128	"OTU_503"	14	0	0
129	"OTU_514"	0	-0.121561456541384	0
130	"OTU_529"	0	-0.121561456541384	0
131	"OTU_560"	7	-0.866025403784439	0
132	"OTU_576"	0	-0.805344649586667	0
133	"OTU_579"	28	0	0
134	"OTU_597"	4	0.92382264307716	0
135	"OTU_600"	1	-0.406034668395203	0
136	"OTU_608"	3	-0.725318520735366	0
137	"OTU_612"	2	-0.790433332862751	0
138	"OTU_628"	1	-0.406034668395203	0
139	"OTU_660"	0	-0.805344649586667	0
140	"OTU_664"	1	-0.406034668395203	0
141	"OTU_674"	0	-0.577416918571572	0
142	"OTU_695"	1	0.714621016375557	0
143	"OTU_740"	2	-0.790433332862751	0
144	"OTU_750"	0	-0.577416918571572	0
145	"OTU_759"	0	-0.805344649586667	0
146	"OTU_785"	0	-0.805344649586667	0
147	"OTU_804"	5	1.75	0
148	"OTU_842"	7	-0.866025403784439	0
149	"OTU_868"	0	-0.805344649586667	0
150	"OTU_886"	0	-0.805344649586667	0
151	"OTU_888"	2	-0.407192929050508	0
152	"OTU_913"	1	-0.77958656331879	0
153	"OTU_944"	4	0	0
154	"OTU_985"	3	-0.725318520735366	0
155	"OTU_1020"	7	-0.866025403784439	0
156	"OTU_1022"	2	-0.407192929050508	0
157	"OTU_1046"	4	-0.30794088102572	0
158	"OTU_1068"	0	-0.805344649586667	0
159	"OTU_1103"	25	0	0
160	"OTU_1195"	3	0.989070710093681	0
161	"OTU_1251"	4	-1.23176352410288	0
162	"OTU_1325"	5	-0.75	0
163	"OTU_1326"	0	-0.577416918571572	0
164	"OTU_1338"	5	-0.75	0
165	"OTU_1360"	10	-0.301511344577764	0
166	"OTU_1370"	2	-0.0239525252382652	0
167	"OTU_1469"	1	-0.77958656331879	0
168	"OTU_1488"	24	0	0
169	"OTU_1580"	17	0	0
170	"OTU_1646"	0	-0.805344649586667	0
171	"OTU_1802"	23	0	0
172	"OTU_1973"	2	-0.790433332862751	0
173	"OTU_2269"	2	-0.790433332862751	0
174	"OTU_2293"	4	0.92382264307716	0
175	"OTU_2373"	5	-0.75	0
176	"OTU_2822"	2	-0.790433332862751	0
177	"OTU_2932"	24	0	0
178	"OTU_2953"	1	-0.406034668395203	0
179	"OTU_4888"	0	-0.349489187556478	0
180	"OTU_5678"	0	-0.577416918571572	0
181	"OTU_5730"	0	0.106366274473711	0
182	"OTU_5766"	12	-1.41421356237309	0
183	"OTU_5886"	4	0.30794088102572	0
184	"OTU_7456"	15	0	0
185	"OTU_7983"	21	0	0
186	"OTU_8100"	4	-0.92382264307716	0
187	"OTU_8148"	9	1	0
188	"OTU_8325"	23	0	0
189	"OTU_8377"	1	-0.406034668395203	0
190	"OTU_8428"	0	-0.349489187556478	0
191	"OTU_8598"	10	-1.20604537831106	0
192	"OTU_8849"	2	-0.790433332862751	0
193	"OTU_8875"	4	-1.23176352410288	0
194	"OTU_9957"	14	0	0
195	"OTU_11423"	13	0	0
196	"OTU_11791"	4	0.30794088102572	0
197	"OTU_12094"	1	-0.406034668395203	0
198	"OTU_12417"	20	0	0
199	"OTU_12580"	15	0	0
200	"OTU_12734"	12	1.41421356237309	0
201	"OTU_13791"	0	-0.349489187556478	0
202	"OTU_14293"	19	0	0
203	"OTU_14351"	0	0.334294005488805	0
204	"OTU_14565"	0	-0.577416918571572	0
205	"OTU_14601"	4	-0.61588176205144	0
206	"OTU_14617"	12	0	0
207	"OTU_14733"	8	0	0
208	"OTU_14736"	4	1.5397044051286	0
209	"OTU_16162"	11	0	0
210	"OTU_16473"	9	-1	0
211	"OTU_16676"	0	-0.805344649586667	0
212	"OTU_16896"	1	-0.406034668395203	0
213	"OTU_17207"	0	-0.577416918571572	0
214	"OTU_18617"	4	-0.61588176205144	0
215	"OTU_18671"	1	-0.0324827734716162	0.56
216	"OTU_18685"	2	-0.790433332862751	0
217	"OTU_19287"	0	-0.121561456541384	0
218	"OTU_19459"	1	-0.406034668395203	0
219	"OTU_19652"	20	0	0
220	"OTU_20178"	4	-1.23176352410288	0
221	"OTU_20797"	1	0.34106912145197	0.32
222	"OTU_20810"	2	0.359287878573978	0
223	"OTU_21239"	6	-2	0
224	"OTU_21262"	7	1.73205080756888	0
225	"OTU_21434"	1	0.714621016375557	0
