#module: 24
modularity: 0.6108574
No	ID	No. module	Zi	Pi
1	"OTU_1"	11	2.0711088044725	0
2	"OTU_2"	10	1.83711730708738	0
3	"OTU_3"	12	1	0
4	"OTU_4"	1	2.17553654058976	0.277777777777778
5	"OTU_5"	11	0.0533790928987759	0.462809917355372
6	"OTU_6"	16	0	0
7	"OTU_7"	8	1.33394593769983	0
8	"OTU_12"	12	1	0
9	"OTU_13"	5	0.369445869778482	0
10	"OTU_14"	0	2.6976317850012	0.211457131872357
11	"OTU_15"	0	0.979191794452878	0.412109375
12	"OTU_18"	1	-0.753749044769802	0
13	"OTU_19"	16	0	0
14	"OTU_20"	14	0	0
15	"OTU_21"	4	2.39803057962007	0.456747404844291
16	"OTU_23"	5	-0.97639265584313	0
17	"OTU_26"	5	-0.97639265584313	0
18	"OTU_27"	0	0.160887037048915	0
19	"OTU_30"	1	0.2924243785729	0.244897959183674
20	"OTU_31"	1	4.89558744128079	0.124444444444444
21	"OTU_32"	8	-0.848874687627165	0
22	"OTU_33"	7	1.73205080756888	0.5
23	"OTU_35"	5	-0.527779813969259	0.444444444444444
24	"OTU_38"	0	0.324547988529707	0.58
25	"OTU_40"	1	1.54783248658414	0
26	"OTU_41"	5	0.369445869778482	0
27	"OTU_42"	1	1.75706717125268	0.231111111111111
28	"OTU_43"	1	0.50165906324144	0.21875
29	"OTU_44"	7	0	0
30	"OTU_45"	3	-0.429006167564111	0
31	"OTU_47"	4	-0.406445860952554	0.48
32	"OTU_49"	0	0.324547988529707	0.265927977839335
33	"OTU_50"	11	0.501763473248493	0
34	"OTU_53"	0	3.27044511518397	0.104462809917355
35	"OTU_55"	3	1.02008133176355	0
36	"OTU_58"	0	2.04298797907803	0
37	"OTU_59"	3	-0.0667342927321951	0
38	"OTU_60"	0	2.94312321222239	0.0768
39	"OTU_61"	0	2.12481845481843	0.0499671268902038
40	"OTU_62"	0	-0.821078671835841	0
41	"OTU_66"	1	0.2924243785729	0
