#module: 23
modularity: 0.6348194
No	ID	No. module	Zi	Pi
1	"OTU_1"	11	2.32992949004287	0
2	"OTU_2"	7	1.22474487139159	0
3	"OTU_3"	12	1	0
4	"OTU_4"	1	3.67055030095625	0.378698224852071
5	"OTU_5"	11	-0.429197537639476	0.489795918367347
6	"OTU_6"	16	0	0
7	"OTU_7"	9	1.45999279017686	0
8	"OTU_12"	12	1	0
9	"OTU_13"	5	0.226778683805536	0
10	"OTU_14"	3	2.84432574325398	0.104938271604938
11	"OTU_15"	1	3.20508196569006	0.6688
12	"OTU_19"	16	0	0
13	"OTU_20"	15	0	0
14	"OTU_21"	3	0.308264811882717	0
15	"OTU_23"	5	-0.982707629823991	0
16	"OTU_26"	5	-0.982707629823991	0
17	"OTU_27"	3	0.308264811882717	0
18	"OTU_30"	0	-0.323265905237286	0.5
19	"OTU_31"	0	4.38236127186895	0
20	"OTU_32"	9	-0.811107105653812	0
21	"OTU_33"	1	1.34320862462529	0.277777777777778
22	"OTU_35"	5	-0.377964473009227	0.444444444444444
23	"OTU_38"	0	3.07524261156166	0.503472222222222
24	"OTU_40"	1	1.80867695989149	0.375
25	"OTU_41"	5	-0.377964473009227	0
26	"OTU_42"	0	1.24527648713146	0
27	"OTU_43"	0	0.199581558885629	0.277777777777778
28	"OTU_44"	1	-0.053196381173279	0
29	"OTU_45"	4	-0.301445758485422	0
30	"OTU_47"	14	0	0
31	"OTU_49"	3	0.538815805643741	0
32	"OTU_50"	11	0.797081141330456	0
33	"OTU_53"	3	3.074876737015	0.290968090859924
34	"OTU_55"	4	0.966540368477066	0
35	"OTU_58"	3	1.80684627132937	0.0739644970414202
36	"OTU_59"	4	0.205748692299573	0
37	"OTU_60"	3	1.34574428380732	0.517578125
38	"OTU_61"	3	2.26794825885142	0.17578125
39	"OTU_62"	19	0	0
40	"OTU_66"	0	0.199581558885629	0
41	"OTU_67"	0	-0.584689637298744	0
42	"OTU_68"	3	0.999917793165789	0
43	"OTU_70"	3	0.423540308763229	0.13265306122449
44	"OTU_72"	18	0	0
45	"OTU_75"	3	0.538815805643741	0.124444444444444
46	"OTU_81"	3	2.84432574325398	0
47	"OTU_84"	0	-0.846113369360202	0
48	"OTU_88"	5	-0.377964473009227	0
49	"OTU_89"	4	-0.808640209270417	0
50	"OTU_93"	0	-0.0618421731758286	0
51	"OTU_96"	9	-0.811107105653812	0
52	"OTU_98"	8	1.60356745147455	0
53	"OTU_102"	3	0.999917793165789	0.18
54	"OTU_103"	0	0.199581558885629	0
55	"OTU_106"	5	1.43626499743506	0
56	"OTU_108"	3	-0.72921466004189	0
57	"OTU_110"	4	0.712943143084569	0
