,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
1,0.05,0.533893939,0.00943796,0.000943796,weighted,Yes,warming_pearson
2,0.1,0.495575758,0.011417188,0.001141719,weighted,Yes,warming_pearson
3,0.15,0.46030303,0.013189459,0.001318946,weighted,Yes,warming_pearson
4,0.2,0.422181818,0.014970638,0.001497064,weighted,Yes,warming_pearson
5,0.25,0.385242424,0.017492308,0.001749231,weighted,Yes,warming_pearson
6,0.3,0.3555,0.01634375,0.001634375,weighted,Yes,warming_pearson
7,0.35,0.322151515,0.018320029,0.001832003,weighted,Yes,warming_pearson
8,0.4,0.283363636,0.016462956,0.001646296,weighted,Yes,warming_pearson
9,0.45,0.252969697,0.019858092,0.001985809,weighted,Yes,warming_pearson
10,0.5,0.219636364,0.016785093,0.001678509,weighted,Yes,warming_pearson
11,0.55,0.189575758,0.016826983,0.001682698,weighted,Yes,warming_pearson
12,0.6,0.158287879,0.018780886,0.001878089,weighted,Yes,warming_pearson
13,0.65,0.132227273,0.014746429,0.001474643,weighted,Yes,warming_pearson
14,0.7,0.105075758,0.015525496,0.00155255,weighted,Yes,warming_pearson
15,0.75,0.080545455,0.012656016,0.001265602,weighted,Yes,warming_pearson
16,0.8,0.058727273,0.011702914,0.001170291,weighted,Yes,warming_pearson
17,0.85,0.036727273,0.010404352,0.001040435,weighted,Yes,warming_pearson
18,0.9,0.019909091,0.007296729,0.000729673,weighted,Yes,warming_pearson
19,0.95,0.005787879,0.003638021,0.000363802,weighted,Yes,warming_pearson
20,1,0,0,0,weighted,Yes,warming_pearson
21,0.05,0.513075758,0.009968495,0.000996849,unweighted,Yes,warming_pearson
22,0.1,0.478742424,0.011876656,0.001187666,unweighted,Yes,warming_pearson
23,0.15,0.443409091,0.016571612,0.001657161,unweighted,Yes,warming_pearson
24,0.2,0.406530303,0.014078462,0.001407846,unweighted,Yes,warming_pearson
25,0.25,0.373924242,0.017377494,0.001737749,unweighted,Yes,warming_pearson
26,0.3,0.340651515,0.017321037,0.001732104,unweighted,Yes,warming_pearson
27,0.35,0.30919697,0.018503249,0.001850325,unweighted,Yes,warming_pearson
28,0.4,0.272166667,0.018558808,0.001855881,unweighted,Yes,warming_pearson
29,0.45,0.243636364,0.019164109,0.001916411,unweighted,Yes,warming_pearson
30,0.5,0.212181818,0.016483986,0.001648399,unweighted,Yes,warming_pearson
31,0.55,0.185257576,0.017652292,0.001765229,unweighted,Yes,warming_pearson
32,0.6,0.1575,0.015806731,0.001580673,unweighted,Yes,warming_pearson
33,0.65,0.12830303,0.014406025,0.001440602,unweighted,Yes,warming_pearson
34,0.7,0.100954545,0.014891642,0.001489164,unweighted,Yes,warming_pearson
