,Number.hub.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
1,1,0.569348485,0.004658103,0.00046581,weighted,Yes,warming_pearson
2,2,0.566575758,0.007443972,0.000744397,weighted,Yes,warming_pearson
3,3,0.563060606,0.007676949,0.000767695,weighted,Yes,warming_pearson
4,4,0.558121212,0.010505051,0.001050505,weighted,Yes,warming_pearson
5,5,0.556045455,0.010104442,0.001010444,weighted,Yes,warming_pearson
6,6,0.553878788,0.011467124,0.001146712,weighted,Yes,warming_pearson
7,7,0.546878788,0.011540698,0.00115407,weighted,Yes,warming_pearson
8,8,0.544712121,0.011784611,0.001178461,weighted,Yes,warming_pearson
9,9,0.541681818,0.012941868,0.001294187,weighted,Yes,warming_pearson
10,10,0.540151515,0.011209805,0.00112098,weighted,Yes,warming_pearson
11,11,0.535772727,0.011912605,0.00119126,weighted,Yes,warming_pearson
12,12,0.530257576,0.01288973,0.001288973,weighted,Yes,warming_pearson
13,13,0.525681818,0.011088915,0.001108891,weighted,Yes,warming_pearson
14,14,0.520969697,0.012589883,0.001258988,weighted,Yes,warming_pearson
15,15,0.517454545,0.010873748,0.001087375,weighted,Yes,warming_pearson
16,16,0.510712121,0.010873268,0.001087327,weighted,Yes,warming_pearson
17,17,0.504954545,0.008295627,0.000829563,weighted,Yes,warming_pearson
18,18,0.500530303,0.007357981,0.000735798,weighted,Yes,warming_pearson
19,19,0.496757576,0.006485775,0.000648578,weighted,Yes,warming_pearson
20,20,0.490909091,0,0,weighted,Yes,warming_pearson
21,1,0.547772727,0.005609369,0.000560937,unweighted,Yes,warming_pearson
22,2,0.545712121,0.006467999,0.0006468,unweighted,Yes,warming_pearson
23,3,0.540727273,0.008081612,0.000808161,unweighted,Yes,warming_pearson
24,4,0.537272727,0.008768912,0.000876891,unweighted,Yes,warming_pearson
25,5,0.535272727,0.009179954,0.000917995,unweighted,Yes,warming_pearson
26,6,0.531469697,0.01047927,0.001047927,unweighted,Yes,warming_pearson
27,7,0.526939394,0.010788324,0.001078832,unweighted,Yes,warming_pearson
28,8,0.524515152,0.012112371,0.001211237,unweighted,Yes,warming_pearson
29,9,0.522712121,0.011701675,0.001170168,unweighted,Yes,warming_pearson
30,10,0.516954545,0.011568543,0.001156854,unweighted,Yes,warming_pearson
31,11,0.515075758,0.01235686,0.001235686,unweighted,Yes,warming_pearson
32,12,0.50919697,0.012366014,0.001236601,unweighted,Yes,warming_pearson
33,13,0.508045455,0.0112947,0.00112947,unweighted,Yes,warming_pearson
34,14,0.503787879,0.011878696,0.00118787,unweighted,Yes,warming_pearson
35,15,0.499590909,0.01203839,0.001203839,unweighted,Yes,warming_pearson
36,16,0.495909091,0.011521956,0.001152196,unweighted,Yes,warming_pearson
37,17,0.491939394,0.009443425,0.000944343,unweighted,Yes,warming_pearson
38,18,0.486666667,0.007764708,0.000776471,unweighted,Yes,warming_pearson
39,19,0.482954545,0.005419808,0.000541981,unweighted,Yes,warming_pearson
40,20,0.478787879,0,0,unweighted,Yes,warming_pearson
41,1,0.569666667,0.004747475,0.000474747,weighted,No,warming_pearson
42,2,0.565878788,0.007627555,0.000762755,weighted,No,warming_pearson
43,3,0.563636364,0.008824271,0.000882427,weighted,No,warming_pearson
44,4,0.559772727,0.009323559,0.000932356,weighted,No,warming_pearson
45,5,0.555560606,0.010677001,0.0010677,weighted,No,warming_pearson
46,6,0.552272727,0.011552105,0.001155211,weighted,No,warming_pearson
47,7,0.549363636,0.011783991,0.001178399,weighted,No,warming_pearson
48,8,0.545,0.011941,0.0011941,weighted,No,warming_pearson
49,9,0.541590909,0.014074641,0.001407464,weighted,No,warming_pearson
50,10,0.536681818,0.012939718,0.001293972,weighted,No,warming_pearson
51,11,0.532787879,0.013408323,0.001340832,weighted,No,warming_pearson
52,12,0.530727273,0.012241294,0.001224129,weighted,No,warming_pearson
53,13,0.526030303,0.01171729,0.001171729,weighted,No,warming_pearson
54,14,0.519333333,0.01292506,0.001292506,weighted,No,warming_pearson
55,15,0.517727273,0.010129666,0.001012967,weighted,No,warming_pearson
56,16,0.511,0.010822746,0.001082275,weighted,No,warming_pearson
57,17,0.508030303,0.008754356,0.000875436,weighted,No,warming_pearson
58,18,0.501424242,0.007737244,0.000773724,weighted,No,warming_pearson
59,19,0.49669697,0.005682986,0.000568299,weighted,No,warming_pearson
60,20,0.490909091,0,0,weighted,No,warming_pearson
61,1,0.549030303,0.004710896,0.00047109,unweighted,No,warming_pearson
62,2,0.545393939,0.006644368,0.000664437,unweighted,No,warming_pearson
63,3,0.541833333,0.008351456,0.000835146,unweighted,No,warming_pearson
64,4,0.53980303,0.008728771,0.000872877,unweighted,No,warming_pearson
65,5,0.534530303,0.009313406,0.000931341,unweighted,No,warming_pearson
66,6,0.531454545,0.010229033,0.001022903,unweighted,No,warming_pearson
67,7,0.52980303,0.011200606,0.001120061,unweighted,No,warming_pearson
68,8,0.525409091,0.011951395,0.001195139,unweighted,No,warming_pearson
69,9,0.522984848,0.012119404,0.00121194,unweighted,No,warming_pearson
70,10,0.518166667,0.010805323,0.001080532,unweighted,No,warming_pearson
71,11,0.514772727,0.010568553,0.001056855,unweighted,No,warming_pearson
72,12,0.512227273,0.011778234,0.001177823,unweighted,No,warming_pearson
73,13,0.507651515,0.010862856,0.001086286,unweighted,No,warming_pearson
74,14,0.5065,0.012618538,0.001261854,unweighted,No,warming_pearson
75,15,0.500772727,0.010462971,0.001046297,unweighted,No,warming_pearson
76,16,0.496878788,0.00978576,0.000978576,unweighted,No,warming_pearson
77,17,0.492560606,0.009382367,0.000938237,unweighted,No,warming_pearson
78,18,0.488060606,0.007338747,0.000733875,unweighted,No,warming_pearson
79,19,0.485015152,0.006044879,0.000604488,unweighted,No,warming_pearson
80,20,0.48030303,0,0,unweighted,No,warming_pearson
81,1,0.992773852,0.007538176,0.000753818,weighted,Yes,warming_pearson_idirect
82,2,0.987685512,0.008869383,0.000886938,weighted,Yes,warming_pearson_idirect
83,3,0.978551237,0.011463887,0.001146389,weighted,Yes,warming_pearson_idirect
84,4,0.972508834,0.012114598,0.00121146,weighted,Yes,warming_pearson_idirect
85,5,0.96655477,0.015248691,0.001524869,weighted,Yes,warming_pearson_idirect
86,6,0.958268551,0.014514595,0.001451459,weighted,Yes,warming_pearson_idirect
87,7,0.949558304,0.015427782,0.001542778,weighted,Yes,warming_pearson_idirect
88,8,0.943303887,0.017150021,0.001715002,weighted,Yes,warming_pearson_idirect
89,9,0.930477032,0.017532362,0.001753236,weighted,Yes,warming_pearson_idirect
90,10,0.92245583,0.018734775,0.001873477,weighted,Yes,warming_pearson_idirect
91,11,0.909893993,0.017181073,0.001718107,weighted,Yes,warming_pearson_idirect
92,12,0.905300353,0.018701261,0.001870126,weighted,Yes,warming_pearson_idirect
93,13,0.89245583,0.016960638,0.001696064,weighted,Yes,warming_pearson_idirect
94,14,0.881448763,0.015007429,0.001500743,weighted,Yes,warming_pearson_idirect
95,15,0.869028269,0.010691498,0.00106915,weighted,Yes,warming_pearson_idirect
96,16,0.856890459,0,0,weighted,Yes,warming_pearson_idirect
97,1,0.993886926,0.006988263,0.000698826,unweighted,Yes,warming_pearson_idirect
98,2,0.987561837,0.00844868,0.000844868,unweighted,Yes,warming_pearson_idirect
99,3,0.980123675,0.010935612,0.001093561,unweighted,Yes,warming_pearson_idirect
100,4,0.971060071,0.014633585,0.001463359,unweighted,Yes,warming_pearson_idirect
101,5,0.967084806,0.012522434,0.001252243,unweighted,Yes,warming_pearson_idirect
102,6,0.957985866,0.015521926,0.001552193,unweighted,Yes,warming_pearson_idirect
103,7,0.949028269,0.016746839,0.001674684,unweighted,Yes,warming_pearson_idirect
104,8,0.940088339,0.018947643,0.001894764,unweighted,Yes,warming_pearson_idirect
105,9,0.933409894,0.017312147,0.001731215,unweighted,Yes,warming_pearson_idirect
106,10,0.921484099,0.01700643,0.001700643,unweighted,Yes,warming_pearson_idirect
107,11,0.91229682,0.017777296,0.00177773,unweighted,Yes,warming_pearson_idirect
108,12,0.904646643,0.017543293,0.001754329,unweighted,Yes,warming_pearson_idirect
109,13,0.89254417,0.017256846,0.001725685,unweighted,Yes,warming_pearson_idirect
110,14,0.880459364,0.014360496,0.00143605,unweighted,Yes,warming_pearson_idirect
111,15,0.868568905,0.010009873,0.001000987,unweighted,Yes,warming_pearson_idirect
112,16,0.856890459,0,0,unweighted,Yes,warming_pearson_idirect
113,1,0.992473498,0.007332612,0.000733261,weighted,No,warming_pearson_idirect
114,2,0.987402827,0.007685476,0.000768548,weighted,No,warming_pearson_idirect
115,3,0.980777385,0.01059559,0.001059559,weighted,No,warming_pearson_idirect
116,4,0.973621908,0.011888487,0.001188849,weighted,No,warming_pearson_idirect
117,5,0.965335689,0.01504369,0.001504369,weighted,No,warming_pearson_idirect
118,6,0.956342756,0.016394672,0.001639467,weighted,No,warming_pearson_idirect
119,7,0.948975265,0.015950121,0.001595012,weighted,No,warming_pearson_idirect
120,8,0.938533569,0.01735326,0.001735326,weighted,No,warming_pearson_idirect
121,9,0.937120141,0.017278238,0.001727824,weighted,No,warming_pearson_idirect
122,10,0.924522968,0.018738452,0.001873845,weighted,No,warming_pearson_idirect
123,11,0.912579505,0.018809661,0.001880966,weighted,No,warming_pearson_idirect
124,12,0.903869258,0.018113895,0.00181139,weighted,No,warming_pearson_idirect
125,13,0.89164311,0.01570263,0.001570263,weighted,No,warming_pearson_idirect
126,14,0.880088339,0.015187362,0.001518736,weighted,No,warming_pearson_idirect
127,15,0.869558304,0.01164951,0.001164951,weighted,No,warming_pearson_idirect
128,16,0.856890459,0,0,weighted,No,warming_pearson_idirect
129,1,0.993710247,0.006294647,0.000629465,unweighted,No,warming_pearson_idirect
130,2,0.98680212,0.009176892,0.000917689,unweighted,No,warming_pearson_idirect
131,3,0.980459364,0.011427524,0.001142752,unweighted,No,warming_pearson_idirect
132,4,0.972685512,0.013561446,0.001356145,unweighted,No,warming_pearson_idirect
133,5,0.962137809,0.015080272,0.001508027,unweighted,No,warming_pearson_idirect
134,6,0.957420495,0.01590106,0.001590106,unweighted,No,warming_pearson_idirect
135,7,0.947102473,0.017690709,0.001769071,unweighted,No,warming_pearson_idirect
136,8,0.941501767,0.018395096,0.00183951,unweighted,No,warming_pearson_idirect
137,9,0.931819788,0.017587523,0.001758752,unweighted,No,warming_pearson_idirect
138,10,0.927314488,0.017607098,0.00176071,unweighted,No,warming_pearson_idirect
139,11,0.912367491,0.017298127,0.001729813,unweighted,No,warming_pearson_idirect
140,12,0.902791519,0.017991433,0.001799143,unweighted,No,warming_pearson_idirect
141,13,0.892208481,0.016711254,0.001671125,unweighted,No,warming_pearson_idirect
142,14,0.88065371,0.013651717,0.001365172,unweighted,No,warming_pearson_idirect
143,15,0.868056537,0.008973379,0.000897338,unweighted,No,warming_pearson_idirect
144,16,0.856890459,0,0,unweighted,No,warming_pearson_idirect
145,1,0.993773148,0.002020019,0.000202002,weighted,Yes,warming_spearman_idirect
146,2,0.987615741,0.002931268,0.000293127,weighted,Yes,warming_spearman_idirect
147,3,0.980949074,0.00414681,0.000414681,weighted,Yes,warming_spearman_idirect
148,4,0.973240741,0.004633369,0.000463337,weighted,Yes,warming_spearman_idirect
149,5,0.967037037,0.005642557,0.000564256,weighted,Yes,warming_spearman_idirect
150,6,0.958981481,0.00670316,0.000670316,weighted,Yes,warming_spearman_idirect
151,7,0.951180556,0.007171399,0.00071714,weighted,Yes,warming_spearman_idirect
152,8,0.943796296,0.008113234,0.000811323,weighted,Yes,warming_spearman_idirect
