"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","consider_cascade","network"
"1",0.05,0.930218253968254,0.0064681851130129,0.00064681851130129,"weighted","Yes","warming_spearman_ndgs"
"2",0.1,0.863055555555556,0.00873316446573761,0.000873316446573761,"weighted","Yes","warming_spearman_ndgs"
"3",0.15,0.793333333333333,0.0114161388203859,0.00114161388203859,"weighted","Yes","warming_spearman_ndgs"
"4",0.2,0.727519841269841,0.0126404570457245,0.00126404570457245,"weighted","Yes","warming_spearman_ndgs"
"5",0.25,0.662400793650794,0.0143143424291687,0.00143143424291687,"weighted","Yes","warming_spearman_ndgs"
"6",0.3,0.59968253968254,0.0139249743092537,0.00139249743092537,"weighted","Yes","warming_spearman_ndgs"
"7",0.35,0.543234126984127,0.0136310937222459,0.00136310937222459,"weighted","Yes","warming_spearman_ndgs"
"8",0.4,0.477936507936508,0.0148137411141187,0.00148137411141187,"weighted","Yes","warming_spearman_ndgs"
"9",0.45,0.416646825396825,0.0178549047285356,0.00178549047285356,"weighted","Yes","warming_spearman_ndgs"
"10",0.5,0.367797619047619,0.0148870438069679,0.00148870438069679,"weighted","Yes","warming_spearman_ndgs"
"11",0.55,0.31234126984127,0.0174691973134437,0.00174691973134437,"weighted","Yes","warming_spearman_ndgs"
"12",0.6,0.260615079365079,0.0176079449083516,0.00176079449083516,"weighted","Yes","warming_spearman_ndgs"
"13",0.65,0.215257936507937,0.0158592186909393,0.00158592186909393,"weighted","Yes","warming_spearman_ndgs"
"14",0.7,0.169861111111111,0.015233570051025,0.0015233570051025,"weighted","Yes","warming_spearman_ndgs"
"15",0.75,0.127876984126984,0.0139713162528291,0.00139713162528291,"weighted","Yes","warming_spearman_ndgs"
"16",0.8,0.0888888888888889,0.0137261706662523,0.00137261706662523,"weighted","Yes","warming_spearman_ndgs"
"17",0.85,0.0573809523809524,0.0107596915537486,0.00107596915537486,"weighted","Yes","warming_spearman_ndgs"
"18",0.9,0.0283928571428571,0.00879991209811125,0.000879991209811125,"weighted","Yes","warming_spearman_ndgs"
"19",0.95,0.00801587301587302,0.00544596319380241,0.000544596319380241,"weighted","Yes","warming_spearman_ndgs"
"20",1,0,0,0,"weighted","Yes","warming_spearman_ndgs"
"21",0.05,0.931448412698413,0.00578896930566693,0.000578896930566693,"unweighted","Yes","warming_spearman_ndgs"
"22",0.1,0.8625,0.00920973839193345,0.000920973839193345,"unweighted","Yes","warming_spearman_ndgs"
"23",0.15,0.792599206349206,0.0116360260468502,0.00116360260468502,"unweighted","Yes","warming_spearman_ndgs"
"24",0.2,0.729305555555556,0.0124093244667133,0.00124093244667133,"unweighted","Yes","warming_spearman_ndgs"
"25",0.25,0.664007936507937,0.01344878656618,0.001344878656618,"unweighted","Yes","warming_spearman_ndgs"
"26",0.3,0.600257936507936,0.0143478614313582,0.00143478614313582,"unweighted","Yes","warming_spearman_ndgs"
"27",0.35,0.540059523809524,0.0153526594936587,0.00153526594936587,"unweighted","Yes","warming_spearman_ndgs"
"28",0.4,0.479801587301587,0.0143060198980562,0.00143060198980562,"unweighted","Yes","warming_spearman_ndgs"
"29",0.45,0.422480158730159,0.0151953061811316,0.00151953061811316,"unweighted","Yes","warming_spearman_ndgs"
"30",0.5,0.365634920634921,0.017133401539547,0.0017133401539547,"unweighted","Yes","warming_spearman_ndgs"
"31",0.55,0.312738095238095,0.0179510473421261,0.00179510473421261,"unweighted","Yes","warming_spearman_ndgs"
"32",0.6,0.262777777777778,0.0167205014022099,0.00167205014022099,"unweighted","Yes","warming_spearman_ndgs"
"33",0.65,0.212321428571429,0.0147335708424641,0.00147335708424641,"unweighted","Yes","warming_spearman_ndgs"
"34",0.7,0.167936507936508,0.0161425922041677,0.00161425922041677,"unweighted","Yes","warming_spearman_ndgs"
"35",0.75,0.125257936507937,0.0156399612730639,0.00156399612730639,"unweighted","Yes","warming_spearman_ndgs"
"36",0.8,0.0895238095238095,0.0126851281320801,0.00126851281320801,"unweighted","Yes","warming_spearman_ndgs"
"37",0.85,0.0574007936507936,0.0105340083396331,0.00105340083396331,"unweighted","Yes","warming_spearman_ndgs"
"38",0.9,0.0264880952380952,0.00873951409616365,0.000873951409616365,"unweighted","Yes","warming_spearman_ndgs"
"39",0.95,0.00706349206349206,0.00474684969810416,0.000474684969810416,"unweighted","Yes","warming_spearman_ndgs"
"40",1,0,0,0,"unweighted","Yes","warming_spearman_ndgs"
"41",0.05,0.929424603174603,0.00648169621028213,0.000648169621028213,"weighted","No","warming_spearman_ndgs"
"42",0.1,0.86093253968254,0.0083710171648488,0.00083710171648488,"weighted","No","warming_spearman_ndgs"
"43",0.15,0.793511904761905,0.0111893383049497,0.00111893383049497,"weighted","No","warming_spearman_ndgs"
"44",0.2,0.726944444444444,0.0111449158220261,0.00111449158220261,"weighted","No","warming_spearman_ndgs"
"45",0.25,0.663234126984127,0.0135390648516165,0.00135390648516165,"weighted","No","warming_spearman_ndgs"
"46",0.3,0.600555555555556,0.0155564062814427,0.00155564062814427,"weighted","No","warming_spearman_ndgs"
"47",0.35,0.542361111111111,0.0154730939827638,0.00154730939827638,"weighted","No","warming_spearman_ndgs"
"48",0.4,0.47625,0.0163699251784725,0.00163699251784725,"weighted","No","warming_spearman_ndgs"
