"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","consider_cascade","network"
"1",1,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"2",2,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"3",3,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"4",4,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"5",5,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"6",6,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"7",7,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"8",8,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"9",9,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"10",10,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"11",11,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"12",12,0.998015873015873,0,0,"weighted","Yes","warming_spearman_ndgs"
"13",1,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"14",2,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"15",3,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"16",4,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"17",5,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"18",6,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"19",7,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"20",8,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"21",9,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"22",10,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"23",11,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"24",12,0.998015873015873,0,0,"unweighted","Yes","warming_spearman_ndgs"
"25",1,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"26",2,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"27",3,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"28",4,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"29",5,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"30",6,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"31",7,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"32",8,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"33",9,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"34",10,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"35",11,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"36",12,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"37",1,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"38",2,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
